Source,Target,Weight
città,giornata,7
città,cupola,6
città,statua,6
bronzo,città,1
città,lastricato,1
città,teatro,3
città,oro,4
città,mattina,7
città,torre,3
bellezza,città,2
città,vedere,40
altro,città,49
città,sera,6
città,settembre,1
città,multicolore,1
città,porta,12
città,friggitorio,1
città,terrazza,1
città,voce,4
città,donna,18
città,ora,30
città,uguale,12
città,felice,9
cupola,giornata,1
giornata,statua,2
bronzo,giornata,1
giornata,lastricato,1
giornata,teatro,1
giornata,oro,1
giornata,mattina,1
giornata,torre,2
bellezza,giornata,1
giornata,vedere,4
altro,giornata,4
giornata,sera,2
giornata,settembre,1
giornata,multicolore,1
giornata,porta,2
friggitorio,giornata,1
giornata,terrazza,1
giornata,voce,1
donna,giornata,2
giornata,ora,3
giornata,uguale,2
felice,giornata,1
cupola,statua,3
bronzo,cupola,1
cupola,lastricato,1
cupola,teatro,1
cupola,oro,1
cupola,mattina,1
cupola,torre,1
bellezza,cupola,1
cupola,vedere,4
altro,cupola,4
cupola,sera,1
cupola,settembre,1
cupola,multicolore,1
cupola,porta,2
cupola,friggitorio,1
cupola,terrazza,1
cupola,voce,1
cupola,donna,2
cupola,ora,3
cupola,uguale,1
cupola,felice,1
bronzo,statua,1
lastricato,statua,1
statua,teatro,2
oro,statua,1
mattina,statua,1
statua,torre,3
bellezza,statua,2
statua,vedere,4
altro,statua,3
sera,statua,1
settembre,statua,1
multicolore,statua,1
porta,statua,4
friggitorio,statua,1
statua,terrazza,1
statua,voce,1
donna,statua,1
ora,statua,3
statua,uguale,3
felice,statua,1
bronzo,lastricato,1
bronzo,teatro,1
bronzo,oro,1
bronzo,mattina,1
bronzo,torre,1
bellezza,bronzo,1
bronzo,vedere,1
altro,bronzo,1
bronzo,sera,1
bronzo,settembre,1
bronzo,multicolore,1
bronzo,porta,1
bronzo,friggitorio,1
bronzo,terrazza,1
bronzo,voce,1
bronzo,donna,1
bronzo,ora,1
bronzo,uguale,1
bronzo,felice,1
lastricato,teatro,1
lastricato,oro,1
lastricato,mattina,1
lastricato,torre,1
bellezza,lastricato,1
lastricato,vedere,1
altro,lastricato,1
lastricato,sera,1
lastricato,settembre,1
lastricato,multicolore,1
lastricato,porta,1
friggitorio,lastricato,1
lastricato,terrazza,1
lastricato,voce,1
donna,lastricato,1
lastricato,ora,1
lastricato,uguale,1
felice,lastricato,1
oro,teatro,2
mattina,teatro,1
teatro,torre,1
bellezza,teatro,1
teatro,vedere,1
altro,teatro,2
sera,teatro,1
settembre,teatro,1
multicolore,teatro,1
porta,teatro,1
friggitorio,teatro,1
teatro,terrazza,1
teatro,voce,1
donna,teatro,1
ora,teatro,2
teatro,uguale,2
felice,teatro,1
mattina,oro,1
oro,torre,1
bellezza,oro,1
oro,vedere,1
altro,oro,3
oro,sera,1
oro,settembre,1
multicolore,oro,1
oro,porta,2
friggitorio,oro,1
oro,terrazza,1
oro,voce,1
donna,oro,1
ora,oro,1
oro,uguale,1
felice,oro,2
mattina,torre,1
bellezza,mattina,1
mattina,vedere,3
altro,mattina,2
mattina,sera,1
mattina,settembre,1
mattina,multicolore,1
mattina,porta,3
friggitorio,mattina,1
mattina,terrazza,1
mattina,voce,1
donna,mattina,2
mattina,ora,3
mattina,uguale,1
felice,mattina,2
bellezza,torre,2
torre,vedere,3
altro,torre,2
sera,torre,1
settembre,torre,1
multicolore,torre,1
porta,torre,3
friggitorio,torre,1
terrazza,torre,1
torre,voce,1
donna,torre,1
ora,torre,1
torre,uguale,2
felice,torre,1
bellezza,vedere,2
altro,bellezza,1
bellezza,sera,1
bellezza,settembre,1
bellezza,multicolore,1
bellezza,porta,2
bellezza,friggitorio,1
bellezza,terrazza,1
bellezza,voce,1
bellezza,donna,1
bellezza,ora,1
bellezza,uguale,2
bellezza,felice,1
altro,vedere,20
sera,vedere,4
settembre,vedere,1
multicolore,vedere,1
porta,vedere,8
friggitorio,vedere,1
terrazza,vedere,1
vedere,voce,3
donna,vedere,7
ora,vedere,16
uguale,vedere,8
felice,vedere,3
altro,sera,5
altro,settembre,1
altro,multicolore,1
altro,porta,6
altro,friggitorio,1
altro,terrazza,1
altro,voce,3
altro,donna,6
altro,ora,15
altro,uguale,10
altro,felice,3
sera,settembre,1
multicolore,sera,1
porta,sera,1
friggitorio,sera,1
sera,terrazza,1
sera,voce,1
donna,sera,2
ora,sera,3
sera,uguale,2
felice,sera,1
multicolore,settembre,1
porta,settembre,1
friggitorio,settembre,1
settembre,terrazza,1
settembre,voce,1
donna,settembre,1
ora,settembre,1
settembre,uguale,1
felice,settembre,1
multicolore,porta,1
friggitorio,multicolore,1
multicolore,terrazza,1
multicolore,voce,1
donna,multicolore,1
multicolore,ora,1
multicolore,uguale,1
felice,multicolore,1
friggitorio,porta,1
porta,terrazza,1
porta,voce,3
donna,porta,3
ora,porta,4
porta,uguale,2
felice,porta,2
friggitorio,terrazza,1
friggitorio,voce,1
donna,friggitorio,1
friggitorio,ora,1
friggitorio,uguale,1
felice,friggitorio,1
terrazza,voce,1
donna,terrazza,1
ora,terrazza,1
terrazza,uguale,1
felice,terrazza,1
donna,voce,1
ora,voce,1
uguale,voce,2
felice,voce,1
donna,ora,6
donna,uguale,2
donna,felice,1
ora,uguale,5
felice,ora,3
felice,uguale,2
città,sottile,7
città,profondo,3
città,sotterraneo,7
città,terra,13
città,lungo,16
buco,città,4
città,verticale,3
città,perimetro,3
città,verdeggiante,1
buio,città,5
città,sepolto,3
città,paesaggio,3
città,invisibile,5
città,visibile,1
città,sole,5
calcareo,città,1
città,secondo,9
città,profondità,1
città,nero,9
città,vena,4
città,sotterrraneo,1
città,fuori,18
castello,città,1
città,traliccio,2
cima,città,4
arco,città,2
acquedotto,città,1
città,colonna,4
aereo,città,1
città,tutto,3
alto,città,16
profondo,sottile,1
sotterraneo,sottile,2
sottile,terra,2
lungo,sottile,3
buco,sottile,1
sottile,verticale,3
perimetro,sottile,1
sottile,verdeggiante,1
buio,sottile,1
sepolto,sottile,1
paesaggio,sottile,1
invisibile,sottile,1
sottile,visibile,1
sole,sottile,2
calcareo,sottile,1
secondo,sottile,2
profondità,sottile,1
nero,sottile,1
sottile,vena,2
sotterrraneo,sottile,1
fuori,sottile,1
castello,sottile,1
sottile,traliccio,1
cima,sottile,1
arco,sottile,1
acquedotto,sottile,1
colonna,sottile,1
aereo,sottile,1
sottile,tutto,1
alto,sottile,2
profondo,sotterraneo,2
profondo,terra,1
lungo,profondo,3
buco,profondo,2
profondo,verticale,1
perimetro,profondo,1
profondo,verdeggiante,1
buio,profondo,1
profondo,sepolto,1
paesaggio,profondo,1
invisibile,profondo,1
profondo,visibile,1
profondo,sole,1
calcareo,profondo,1
profondo,secondo,1
profondità,profondo,1
nero,profondo,2
profondo,vena,1
profondo,sotterrraneo,1
fuori,profondo,1
castello,profondo,1
profondo,traliccio,1
cima,profondo,1
arco,profondo,1
acquedotto,profondo,1
colonna,profondo,1
aereo,profondo,1
profondo,tutto,1
alto,profondo,2
sotterraneo,terra,1
lungo,sotterraneo,4
buco,sotterraneo,2
sotterraneo,verticale,2
perimetro,sotterraneo,1
sotterraneo,verdeggiante,1
buio,sotterraneo,2
sepolto,sotterraneo,1
paesaggio,sotterraneo,1
invisibile,sotterraneo,2
sotterraneo,visibile,1
sole,sotterraneo,2
calcareo,sotterraneo,1
secondo,sotterraneo,1
profondità,sotterraneo,1
nero,sotterraneo,2
sotterraneo,vena,2
sotterraneo,sotterrraneo,1
fuori,sotterraneo,1
castello,sotterraneo,1
sotterraneo,traliccio,1
