Source,Target,Weight
città,continuo,5
città,stesso,7
città,giorno,7
città,mattina,2
città,fresco,1
città,nuovo,7
città,fiammante,1
città,perfezionato,1
città,intonso,1
città,ultimo,2
città,modello,1
città,schiacciato,1
città,fulminato,1
città,servizio,1
città,posto,1
città,vero,1
città,diverso,3
città,ricorrente,1
città,silenzioso,1
città,fuori,6
anno,città,5
città,perimetro,1
città,vasto,1
arte,città,1
città,tempo,1
città,fortezza,1
città,indistruttibile,1
città,lato,1
città,passato,2
città,solo,1
città,forma,2
città,definitivo,1
città,lustro,1
città,sterminato,1
città,immondezzaio,2
città,estremo,1
città,crinale,1
città,intero,1
città,confine,2
centro,città,3
città,metropoli,2
città,ininterrotto,1
città,estraneo,1
città,nemico,1
bastione,città,1
città,infetto,1
città,vecchio,1
città,spagliato,1
città,spaiato,1
città,secco,1
città,limitrofo,1
città,mondo,1
città,sordido,1
città,montuoso,1
città,vicino,1
città,pronto,1
città,rullo,1
città,territorio,1
continuo,stesso,4
continuo,giorno,2
continuo,mattina,2
continuo,fresco,1
continuo,nuovo,1
continuo,fiammante,1
continuo,perfezionato,1
continuo,intonso,1
continuo,ultimo,1
continuo,modello,1
continuo,schiacciato,1
continuo,fulminato,1
continuo,servizio,1
continuo,posto,1
continuo,vero,1
continuo,diverso,3
continuo,ricorrente,1
continuo,silenzioso,1
continuo,fuori,3
anno,continuo,3
continuo,perimetro,1
continuo,vasto,1
arte,continuo,1
continuo,tempo,1
continuo,fortezza,1
continuo,indistruttibile,1
continuo,lato,1
continuo,passato,1
continuo,solo,1
continuo,forma,2
continuo,definitivo,1
continuo,lustro,1
continuo,sterminato,1
continuo,immondezzaio,1
continuo,estremo,1
continuo,crinale,1
continuo,intero,1
confine,continuo,1
centro,continuo,3
continuo,metropoli,1
continuo,ininterrotto,1
continuo,estraneo,1
continuo,nemico,1
bastione,continuo,1
continuo,infetto,1
continuo,vecchio,1
continuo,spagliato,1
continuo,spaiato,1
continuo,secco,1
continuo,limitrofo,1
continuo,mondo,1
continuo,sordido,1
continuo,montuoso,1
continuo,vicino,1
continuo,pronto,1
continuo,rullo,1
continuo,territorio,1
giorno,stesso,3
mattina,stesso,2
fresco,stesso,1
nuovo,stesso,3
fiammante,stesso,1
perfezionato,stesso,1
intonso,stesso,1
stesso,ultimo,2
modello,stesso,1
schiacciato,stesso,1
fulminato,stesso,1
servizio,stesso,1
posto,stesso,1
stesso,vero,1
diverso,stesso,3
ricorrente,stesso,1
silenzioso,stesso,1
fuori,stesso,2
anno,stesso,5
perimetro,stesso,1
stesso,vasto,1
arte,stesso,1
stesso,tempo,1
fortezza,stesso,1
indistruttibile,stesso,1
lato,stesso,1
passato,stesso,2
solo,stesso,1
forma,stesso,2
definitivo,stesso,1
lustro,stesso,1
sterminato,stesso,1
immondezzaio,stesso,2
estremo,stesso,1
crinale,stesso,1
intero,stesso,1
confine,stesso,2
centro,stesso,3
metropoli,stesso,2
ininterrotto,stesso,1
estraneo,stesso,1
nemico,stesso,1
bastione,stesso,1
infetto,stesso,1
stesso,vecchio,1
spagliato,stesso,1
spaiato,stesso,1
secco,stesso,1
limitrofo,stesso,1
mondo,stesso,1
sordido,stesso,1
montuoso,stesso,1
stesso,vicino,1
pronto,stesso,1
rullo,stesso,1
stesso,territorio,1
giorno,mattina,1
fresco,giorno,1
giorno,nuovo,6
fiammante,giorno,1
giorno,perfezionato,1
giorno,intonso,1
giorno,ultimo,2
giorno,modello,1
giorno,schiacciato,1
fulminato,giorno,1
giorno,servizio,1
giorno,posto,1
giorno,vero,1
diverso,giorno,1
giorno,ricorrente,1
giorno,silenzioso,1
fuori,giorno,2
anno,giorno,4
giorno,perimetro,1
giorno,vasto,1
arte,giorno,1
giorno,tempo,1
fortezza,giorno,1
giorno,indistruttibile,1
giorno,lato,1
giorno,passato,2
giorno,solo,1
forma,giorno,1
definitivo,giorno,1
giorno,lustro,1
giorno,sterminato,1
giorno,immondezzaio,2
estremo,giorno,1
crinale,giorno,1
giorno,intero,1
confine,giorno,2
centro,giorno,1
giorno,metropoli,2
giorno,ininterrotto,1
estraneo,giorno,1
giorno,nemico,1
bastione,giorno,1
giorno,infetto,1
giorno,vecchio,1
giorno,spagliato,1
giorno,spaiato,1
giorno,secco,1
giorno,limitrofo,1
giorno,mondo,1
giorno,sordido,1
giorno,montuoso,1
giorno,vicino,1
giorno,pronto,1
giorno,rullo,1
giorno,territorio,1
fresco,mattina,1
mattina,nuovo,1
fiammante,mattina,1
mattina,perfezionato,1
intonso,mattina,1
mattina,ultimo,1
mattina,modello,1
mattina,schiacciato,1
fulminato,mattina,1
mattina,servizio,1
mattina,posto,1
mattina,vero,1
diverso,mattina,2
mattina,ricorrente,1
mattina,silenzioso,1
fuori,mattina,2
anno,mattina,1
mattina,perimetro,1
mattina,vasto,1
arte,mattina,1
mattina,tempo,1
fortezza,mattina,1
indistruttibile,mattina,1
lato,mattina,1
mattina,passato,1
mattina,solo,1
forma,mattina,1
definitivo,mattina,1
lustro,mattina,1
mattina,sterminato,1
immondezzaio,mattina,1
estremo,mattina,1
crinale,mattina,1
intero,mattina,1
confine,mattina,1
centro,mattina,2
mattina,metropoli,1
ininterrotto,mattina,1
estraneo,mattina,1
mattina,nemico,1
bastione,mattina,1
infetto,mattina,1
mattina,vecchio,1
mattina,spagliato,1
mattina,spaiato,1
mattina,secco,1
limitrofo,mattina,1
mattina,mondo,1
mattina,sordido,1
mattina,montuoso,1
mattina,vicino,1
mattina,pronto,1
mattina,rullo,1
mattina,territorio,1
fresco,nuovo,1
fiammante,fresco,1
fresco,perfezionato,1
fresco,intonso,1
fresco,ultimo,1
fresco,modello,1
fresco,schiacciato,1
fresco,fulminato,1
fresco,servizio,1
fresco,posto,1
fresco,vero,1
diverso,fresco,1
fresco,ricorrente,1
fresco,silenzioso,1
fresco,fuori,1
anno,fresco,1
fresco,perimetro,1
fresco,vasto,1
arte,fresco,1
fresco,tempo,1
fortezza,fresco,1
fresco,indistruttibile,1
fresco,lato,1
fresco,passato,1
fresco,solo,1
forma,fresco,1
definitivo,fresco,1
fresco,lustro,1
fresco,sterminato,1
fresco,immondezzaio,1
estremo,fresco,1
crinale,fresco,1
fresco,intero,1
confine,fresco,1
centro,fresco,1
fresco,metropoli,1
fresco,ininterrotto,1
estraneo,fresco,1
fresco,nemico,1
bastione,fresco,1
fresco,infetto,1
fresco,vecchio,1
fresco,spagliato,1
fresco,spaiato,1
fresco,secco,1
fresco,limitrofo,1
fresco,mondo,1
fresco,sordido,1
fresco,montuoso,1
fresco,vicino,1
fresco,pronto,1
fresco,rullo,1
fresco,territorio,1
fiammante,nuovo,1
nuovo,perfezionato,1
intonso,nuovo,1
nuovo,ultimo,2
modello,nuovo,1
nuovo,schiacciato,1
fulminato,nuovo,1
nuovo,servizio,1
nuovo,posto,1
nuovo,vero,1
diverso,nuovo,1
nuovo,ricorrente,1
nuovo,silenzioso,1
fuori,nuovo,1
anno,nuovo,3
nuovo,perimetro,1
nuovo,vasto,1
arte,nuovo,1
nuovo,tempo,1
fortezza,nuovo,1
indistruttibile,nuovo,1
lato,nuovo,1
nuovo,passato,2
nuovo,solo,1
forma,nuovo,1
definitivo,nuovo,1
lustro,nuovo,1
nuovo,sterminato,1
immondezzaio,nuovo,2
estremo,nuovo,1
crinale,nuovo,1
intero,nuovo,1
confine,nuovo,2
centro,nuovo,1
metropoli,nuovo,2
ininterrotto,nuovo,1
estraneo,nuovo,1
nemico,nuovo,1
bastione,nuovo,1
infetto,nuovo,1
nuovo,vecchio,1
nuovo,spagliato,1
nuovo,spaiato,1
nuovo,secco,1
limitrofo,nuovo,1
mondo,nuovo,1
nuovo,sordido,1
montuoso,nuovo,1
nuovo,vicino,1
nuovo,pronto,1
nuovo,rullo,1
nuovo,territorio,1
fiammante,perfezionato,1
fiammante,intonso,1
fiammante,ultimo,1
fiammante,modello,1
fiammante,schiacciato,1
fiammante,fulminato,1
fiammante,servizio,1
fiammante,posto,1
fiammante,vero,1
diverso,fiammante,1
fiammante,ricorrente,1
fiammante,silenzioso,1
fiammante,fuori,1
anno,fiammante,1
fiammante,perimetro,1
fiammante,vasto,1
arte,fiammante,1
fiammante,tempo,1
fiammante,fortezza,1
fiammante,indistruttibile,1
fiammante,lato,1
fiammante,passato,1
fiammante,solo,1
fiammante,forma,1
definitivo,fiammante,1
fiammante,lustro,1
fiammante,sterminato,1
