Source,Target,Weight
casa,città,1
città,veranda,1
alto,città,1
città,parapetto,2
balaustra,città,1
città,vedere,2
città,riflesso,1
capovolto,città,1
altro,città,2
città,modo,1
città,punto,6
città,scanalatura,1
città,interno,1
città,stanza,1
città,prospettiva,2
città,immagine,4
città,speculare,1
città,speciale,1
città,solo,1
città,istante,1
città,nudo,1
città,vena,1
città,nero,2
città,grumoso,1
città,limpido,1
città,freddo,1
città,ora,3
città,gemello,1
città,uguale,1
città,simmetrico,1
città,inverso,2
casa,veranda,1
alto,casa,1
casa,parapetto,1
balaustra,casa,1
casa,vedere,1
casa,riflesso,1
capovolto,casa,1
altro,casa,1
casa,modo,1
casa,punto,1
casa,scanalatura,1
casa,interno,1
casa,stanza,1
casa,prospettiva,1
casa,immagine,1
casa,speculare,1
casa,speciale,1
casa,solo,1
casa,istante,1
casa,nudo,1
casa,vena,1
casa,nero,1
casa,grumoso,1
casa,limpido,1
casa,freddo,1
casa,ora,1
casa,gemello,1
casa,uguale,1
casa,simmetrico,1
casa,inverso,1
alto,veranda,1
parapetto,veranda,1
balaustra,veranda,1
vedere,veranda,1
riflesso,veranda,1
capovolto,veranda,1
altro,veranda,1
modo,veranda,1
punto,veranda,1
scanalatura,veranda,1
interno,veranda,1
stanza,veranda,1
prospettiva,veranda,1
immagine,veranda,1
speculare,veranda,1
speciale,veranda,1
solo,veranda,1
istante,veranda,1
nudo,veranda,1
vena,veranda,1
nero,veranda,1
grumoso,veranda,1
limpido,veranda,1
freddo,veranda,1
ora,veranda,1
gemello,veranda,1
uguale,veranda,1
simmetrico,veranda,1
inverso,veranda,1
alto,parapetto,1
alto,balaustra,1
alto,vedere,1
alto,riflesso,1
alto,capovolto,1
alto,altro,1
alto,modo,1
alto,punto,1
alto,scanalatura,1
alto,interno,1
alto,stanza,1
alto,prospettiva,1
alto,immagine,1
alto,speculare,1
alto,speciale,1
alto,solo,1
alto,istante,1
alto,nudo,1
alto,vena,1
alto,nero,1
alto,grumoso,1
alto,limpido,1
alto,freddo,1
alto,ora,1
alto,gemello,1
alto,uguale,1
alto,simmetrico,1
alto,inverso,1
balaustra,parapetto,1
parapetto,vedere,2
parapetto,riflesso,1
capovolto,parapetto,1
altro,parapetto,1
modo,parapetto,1
parapetto,punto,2
parapetto,scanalatura,1
interno,parapetto,1
parapetto,stanza,1
parapetto,prospettiva,1
immagine,parapetto,1
parapetto,speculare,1
parapetto,speciale,1
parapetto,solo,1
istante,parapetto,1
nudo,parapetto,1
parapetto,vena,1
nero,parapetto,1
grumoso,parapetto,1
limpido,parapetto,1
freddo,parapetto,1
ora,parapetto,2
gemello,parapetto,1
parapetto,uguale,1
parapetto,simmetrico,1
inverso,parapetto,1
balaustra,vedere,1
balaustra,riflesso,1
balaustra,capovolto,1
altro,balaustra,1
balaustra,modo,1
balaustra,punto,1
balaustra,scanalatura,1
balaustra,interno,1
balaustra,stanza,1
balaustra,prospettiva,1
balaustra,immagine,1
balaustra,speculare,1
balaustra,speciale,1
balaustra,solo,1
balaustra,istante,1
balaustra,nudo,1
balaustra,vena,1
balaustra,nero,1
balaustra,grumoso,1
balaustra,limpido,1
balaustra,freddo,1
balaustra,ora,1
balaustra,gemello,1
balaustra,uguale,1
balaustra,simmetrico,1
balaustra,inverso,1
riflesso,vedere,1
capovolto,vedere,1
altro,vedere,1
modo,vedere,1
punto,vedere,2
scanalatura,vedere,1
interno,vedere,1
stanza,vedere,1
prospettiva,vedere,1
immagine,vedere,1
speculare,vedere,1
speciale,vedere,1
solo,vedere,1
istante,vedere,1
nudo,vedere,1
vedere,vena,1
