Source,Target,Weight
città,nazione,1
città,equinozio,2
città,stiva,1
città,colmo,1
città,seme,1
città,moscato,1
città,dorato,1
città,deserto,1
città,stesso,8
bazar,città,2
città,dentro,1
città,fuori,1
città,impero,2
città,piede,1
città,giallo,1
città,ombra,1
città,tenda,1
città,scacciamosco,1
città,menzognere,1
città,notte,1
città,fuoco,1
città,mercato,1
città,sdraiato,1
città,nascosto,2
città,lungo,1
città,sveglio,1
altro,città,11
città,diverso,2
equinozio,nazione,1
nazione,stiva,1
colmo,nazione,1
nazione,seme,1
moscato,nazione,1
dorato,nazione,1
deserto,nazione,1
nazione,stesso,1
bazar,nazione,1
dentro,nazione,1
fuori,nazione,1
impero,nazione,1
nazione,piede,1
giallo,nazione,1
nazione,ombra,1
nazione,tenda,1
nazione,scacciamosco,1
menzognere,nazione,1
nazione,notte,1
fuoco,nazione,1
mercato,nazione,1
nazione,sdraiato,1
nascosto,nazione,1
lungo,nazione,1
nazione,sveglio,1
altro,nazione,1
diverso,nazione,1
equinozio,stiva,1
colmo,equinozio,1
equinozio,seme,1
equinozio,moscato,1
dorato,equinozio,1
deserto,equinozio,1
equinozio,stesso,2
bazar,equinozio,1
dentro,equinozio,1
equinozio,fuori,1
equinozio,impero,1
equinozio,piede,1
equinozio,giallo,1
equinozio,ombra,1
equinozio,tenda,1
equinozio,scacciamosco,1
equinozio,menzognere,1
equinozio,notte,1
equinozio,fuoco,1
equinozio,mercato,1
equinozio,sdraiato,1
equinozio,nascosto,1
equinozio,lungo,1
equinozio,sveglio,1
altro,equinozio,2
diverso,equinozio,1
colmo,stiva,1
seme,stiva,1
moscato,stiva,1
dorato,stiva,1
deserto,stiva,1
stesso,stiva,1
bazar,stiva,1
dentro,stiva,1
fuori,stiva,1
impero,stiva,1
piede,stiva,1
giallo,stiva,1
ombra,stiva,1
stiva,tenda,1
scacciamosco,stiva,1
menzognere,stiva,1
notte,stiva,1
fuoco,stiva,1
mercato,stiva,1
sdraiato,stiva,1
nascosto,stiva,1
lungo,stiva,1
stiva,sveglio,1
altro,stiva,1
diverso,stiva,1
colmo,seme,1
colmo,moscato,1
colmo,dorato,1
colmo,deserto,1
colmo,stesso,1
bazar,colmo,1
colmo,dentro,1
colmo,fuori,1
colmo,impero,1
colmo,piede,1
colmo,giallo,1
colmo,ombra,1
colmo,tenda,1
colmo,scacciamosco,1
colmo,menzognere,1
colmo,notte,1
colmo,fuoco,1
colmo,mercato,1
colmo,sdraiato,1
colmo,nascosto,1
colmo,lungo,1
colmo,sveglio,1
altro,colmo,1
colmo,diverso,1
moscato,seme,1
dorato,seme,1
deserto,seme,1
seme,stesso,1
bazar,seme,1
dentro,seme,1
fuori,seme,1
impero,seme,1
piede,seme,1
giallo,seme,1
ombra,seme,1
seme,tenda,1
scacciamosco,seme,1
menzognere,seme,1
notte,seme,1
fuoco,seme,1
mercato,seme,1
sdraiato,seme,1
nascosto,seme,1
lungo,seme,1
seme,sveglio,1
altro,seme,1
diverso,seme,1
dorato,moscato,1
deserto,moscato,1
moscato,stesso,1
bazar,moscato,1
dentro,moscato,1
fuori,moscato,1
impero,moscato,1
moscato,piede,1
giallo,moscato,1
moscato,ombra,1
moscato,tenda,1
moscato,scacciamosco,1
menzognere,moscato,1
moscato,notte,1
fuoco,moscato,1
mercato,moscato,1
moscato,sdraiato,1
moscato,nascosto,1
lungo,moscato,1
moscato,sveglio,1
altro,moscato,1
diverso,moscato,1
deserto,dorato,1
dorato,stesso,1
bazar,dorato,1
dentro,dorato,1
dorato,fuori,1
dorato,impero,1
dorato,piede,1
dorato,giallo,1
dorato,ombra,1
dorato,tenda,1
dorato,scacciamosco,1
dorato,menzognere,1
dorato,notte,1
dorato,fuoco,1
dorato,mercato,1
dorato,sdraiato,1
dorato,nascosto,1
dorato,lungo,1
dorato,sveglio,1
altro,dorato,1
diverso,dorato,1
deserto,stesso,1
bazar,deserto,1
dentro,deserto,1
deserto,fuori,1
deserto,impero,1
deserto,piede,1
deserto,giallo,1
deserto,ombra,1
deserto,tenda,1
deserto,scacciamosco,1
deserto,menzognere,1
deserto,notte,1
deserto,fuoco,1
deserto,mercato,1
deserto,sdraiato,1
deserto,nascosto,1
deserto,lungo,1
deserto,sveglio,1
altro,deserto,1
deserto,diverso,1
bazar,stesso,1
dentro,stesso,1
fuori,stesso,1
impero,stesso,2
piede,stesso,1
giallo,stesso,1
ombra,stesso,1
stesso,tenda,1
scacciamosco,stesso,1
menzognere,stesso,1
notte,stesso,1
fuoco,stesso,1
mercato,stesso,1
sdraiato,stesso,1
nascosto,stesso,2
lungo,stesso,1
stesso,sveglio,1
altro,stesso,7
diverso,stesso,2
bazar,dentro,1
bazar,fuori,1
bazar,impero,1
bazar,piede,1
bazar,giallo,1
bazar,ombra,1
bazar,tenda,1
bazar,scacciamosco,1
bazar,menzognere,1
bazar,notte,1
bazar,fuoco,1
bazar,mercato,1
bazar,sdraiato,1
bazar,nascosto,1
bazar,lungo,1
bazar,sveglio,1
altro,bazar,2
bazar,diverso,1
dentro,fuori,1
dentro,impero,1
dentro,piede,1
dentro,giallo,1
dentro,ombra,1
dentro,tenda,1
dentro,scacciamosco,1
dentro,menzognere,1
dentro,notte,1
dentro,fuoco,1
dentro,mercato,1
dentro,sdraiato,1
dentro,nascosto,1
dentro,lungo,1
dentro,sveglio,1
altro,dentro,1
dentro,diverso,1
fuori,impero,1
fuori,piede,1
fuori,giallo,1
fuori,ombra,1
fuori,tenda,1
fuori,scacciamosco,1
fuori,menzognere,1
fuori,notte,1
fuoco,fuori,1
fuori,mercato,1
fuori,sdraiato,1
fuori,nascosto,1
fuori,lungo,1
fuori,sveglio,1
altro,fuori,1
diverso,fuori,1
impero,piede,1
giallo,impero,1
impero,ombra,1
impero,tenda,1
impero,scacciamosco,1
impero,menzognere,1
impero,notte,1
fuoco,impero,1
impero,mercato,1
impero,sdraiato,1
impero,nascosto,1
impero,lungo,1
impero,sveglio,1
altro,impero,2
diverso,impero,1
giallo,piede,1
ombra,piede,1
piede,tenda,1
piede,scacciamosco,1
menzognere,piede,1
notte,piede,1
fuoco,piede,1
mercato,piede,1
piede,sdraiato,1
nascosto,piede,1
lungo,piede,1
piede,sveglio,1
altro,piede,1
diverso,piede,1
giallo,ombra,1
giallo,tenda,1
giallo,scacciamosco,1
giallo,menzognere,1
giallo,notte,1
fuoco,giallo,1
giallo,mercato,1
giallo,sdraiato,1
giallo,nascosto,1
giallo,lungo,1
giallo,sveglio,1
altro,giallo,1
diverso,giallo,1
ombra,tenda,1
ombra,scacciamosco,1
menzognere,ombra,1
notte,ombra,1
fuoco,ombra,1
mercato,ombra,1
ombra,sdraiato,1
nascosto,ombra,1
lungo,ombra,1
ombra,sveglio,1
altro,ombra,1
diverso,ombra,1
scacciamosco,tenda,1
menzognere,tenda,1
notte,tenda,1
fuoco,tenda,1
mercato,tenda,1
sdraiato,tenda,1
nascosto,tenda,1
lungo,tenda,1
sveglio,tenda,1
altro,tenda,1
diverso,tenda,1
menzognere,scacciamosco,1
notte,scacciamosco,1
fuoco,scacciamosco,1
mercato,scacciamosco,1
scacciamosco,sdraiato,1
nascosto,scacciamosco,1
lungo,scacciamosco,1
scacciamosco,sveglio,1
altro,scacciamosco,1
diverso,scacciamosco,1
menzognere,notte,1
fuoco,menzognere,1
menzognere,mercato,1
menzognere,sdraiato,1
menzognere,nascosto,1
lungo,menzognere,1
menzognere,sveglio,1
altro,menzognere,1
diverso,menzognere,1
fuoco,notte,1
mercato,notte,1
notte,sdraiato,1
nascosto,notte,1
lungo,notte,1
notte,sveglio,1
altro,notte,1
diverso,notte,1
fuoco,mercato,1
fuoco,sdraiato,1
fuoco,nascosto,1
fuoco,lungo,1
fuoco,sveglio,1
altro,fuoco,1
diverso,fuoco,1
mercato,sdraiato,1
mercato,nascosto,1
lungo,mercato,1
mercato,sveglio,1
altro,mercato,1
diverso,mercato,1
nascosto,sdraiato,1
lungo,sdraiato,1
sdraiato,sveglio,1
altro,sdraiato,1
diverso,sdraiato,1
lungo,nascosto,1
nascosto,sveglio,1
altro,nascosto,2
diverso,nascosto,2
lungo,sveglio,1
altro,lungo,1
diverso,lungo,1
altro,sveglio,1
diverso,sveglio,1
altro,diverso,2
città,grande,2
città,persona,2
città,sguardo,3
città,secondo,2
città,donna,3
città,nerovestita,1
anno,città,1
città,inquiete,1
città,tremante,1
città,tatuato,1
città,giovane,1
bianco,città,3
città,linea,2
città,figura,2
città,triangolo,1
attimo,città,1
città,personaggio,1
città,scena,2
cieco,città,1
città,cortigiana,1
cannone,città,1
città,portico,1
città,piazza,1
città,seduzione,1
città,lussurioso,1
città,effimero,1
grande,persona,1
grande,sguardo,1
grande,secondo,1
altro,grande,2
donna,grande,1
grande,nerovestita,1
anno,grande,1
grande,inquiete,1
grande,tremante,1
grande,tatuato,1
giovane,grande,1
bianco,grande,1
grande,linea,1
figura,grande,1
grande,triangolo,1
attimo,grande,1
grande,personaggio,1
grande,scena,2
cieco,grande,1
cortigiana,grande,1
cannone,grande,1
grande,portico,1
bazar,grande,1
grande,piazza,1
grande,seduzione,1
grande,lussurioso,1
effimero,grande,1
persona,sguardo,2
persona,secondo,1
altro,persona,2
donna,persona,2
nerovestita,persona,1
anno,persona,1
inquiete,persona,1
persona,tremante,1
persona,tatuato,1
giovane,persona,1
bianco,persona,1
linea,persona,1
figura,persona,1
persona,triangolo,1
attimo,persona,1
persona,personaggio,1
persona,scena,1
cieco,persona,1
cortigiana,persona,1
cannone,persona,1
persona,portico,1
bazar,persona,1
persona,piazza,1
persona,seduzione,1
lussurioso,persona,1
effimero,persona,1
secondo,sguardo,1
altro,sguardo,2
donna,sguardo,3
nerovestita,sguardo,1
anno,sguardo,1
inquiete,sguardo,1
sguardo,tremante,1
sguardo,tatuato,1
giovane,sguardo,1
bianco,sguardo,1
linea,sguardo,1
figura,sguardo,1
sguardo,triangolo,1
attimo,sguardo,1
personaggio,sguardo,1
scena,sguardo,1
cieco,sguardo,1
cortigiana,sguardo,1
cannone,sguardo,1
portico,sguardo,1
bazar,sguardo,1
piazza,sguardo,1
seduzione,sguardo,1
lussurioso,sguardo,1
effimero,sguardo,1
altro,secondo,1
donna,secondo,1
nerovestita,secondo,1
anno,secondo,1
inquiete,secondo,1
secondo,tremante,1
secondo,tatuato,1
giovane,secondo,1
bianco,secondo,2
linea,secondo,1
figura,secondo,2
secondo,triangolo,1
attimo,secondo,1
personaggio,secondo,1
scena,secondo,1
cieco,secondo,1
cortigiana,secondo,1
cannone,secondo,1
portico,secondo,1
bazar,secondo,1
piazza,secondo,1
secondo,seduzione,1
lussurioso,secondo,1
effimero,secondo,1
altro,donna,2
altro,nerovestita,1
altro,anno,1
altro,inquiete,1
altro,tremante,1
altro,tatuato,1
altro,giovane,1
altro,bianco,1
altro,linea,2
altro,figura,1
altro,triangolo,1
altro,attimo,1
altro,personaggio,1
altro,scena,2
altro,cieco,1
altro,cortigiana,1
altro,cannone,1
altro,portico,1
altro,piazza,1
altro,seduzione,1
altro,lussurioso,1
altro,effimero,1
donna,nerovestita,1
anno,donna,1
donna,inquiete,1
donna,tremante,1
donna,tatuato,1
donna,giovane,1
bianco,donna,1
donna,linea,1
donna,figura,1
donna,triangolo,1
attimo,donna,1
donna,personaggio,1
donna,scena,1
cieco,donna,1
cortigiana,donna,1
cannone,donna,1
donna,portico,1
bazar,donna,1
donna,piazza,1
donna,seduzione,1
donna,lussurioso,1
donna,effimero,1
anno,nerovestita,1
inquiete,nerovestita,1
nerovestita,tremante,1
nerovestita,tatuato,1
giovane,nerovestita,1
bianco,nerovestita,1
linea,nerovestita,1
figura,nerovestita,1
nerovestita,triangolo,1
attimo,nerovestita,1
nerovestita,personaggio,1
nerovestita,scena,1
cieco,nerovestita,1
cortigiana,nerovestita,1
cannone,nerovestita,1
nerovestita,portico,1
bazar,nerovestita,1
nerovestita,piazza,1
nerovestita,seduzione,1
lussurioso,nerovestita,1
effimero,nerovestita,1
anno,inquiete,1
anno,tremante,1
anno,tatuato,1
anno,giovane,1
anno,bianco,1
anno,linea,1
anno,figura,1
anno,triangolo,1
anno,attimo,1
anno,personaggio,1
anno,scena,1
anno,cieco,1
anno,cortigiana,1
anno,cannone,1
anno,portico,1
anno,bazar,1
anno,piazza,1
anno,seduzione,1
anno,lussurioso,1
anno,effimero,1
inquiete,tremante,1
inquiete,tatuato,1
giovane,inquiete,1
bianco,inquiete,1
inquiete,linea,1
figura,inquiete,1
inquiete,triangolo,1
attimo,inquiete,1
inquiete,personaggio,1
inquiete,scena,1
cieco,inquiete,1
cortigiana,inquiete,1
cannone,inquiete,1
inquiete,portico,1
bazar,inquiete,1
inquiete,piazza,1
inquiete,seduzione,1
inquiete,lussurioso,1
effimero,inquiete,1
tatuato,tremante,1
giovane,tremante,1
bianco,tremante,1
linea,tremante,1
figura,tremante,1
tremante,triangolo,1
attimo,tremante,1
personaggio,tremante,1
scena,tremante,1
cieco,tremante,1
cortigiana,tremante,1
cannone,tremante,1
portico,tremante,1
bazar,tremante,1
piazza,tremante,1
seduzione,tremante,1
lussurioso,tremante,1
effimero,tremante,1
giovane,tatuato,1
bianco,tatuato,1
linea,tatuato,1
figura,tatuato,1
tatuato,triangolo,1
attimo,tatuato,1
personaggio,tatuato,1
scena,tatuato,1
cieco,tatuato,1
cortigiana,tatuato,1
cannone,tatuato,1
portico,tatuato,1
bazar,tatuato,1
piazza,tatuato,1
seduzione,tatuato,1
lussurioso,tatuato,1
effimero,tatuato,1
bianco,giovane,1
giovane,linea,1
figura,giovane,1
giovane,triangolo,1
attimo,giovane,1
giovane,personaggio,1
giovane,scena,1
cieco,giovane,1
cortigiana,giovane,1
cannone,giovane,1
giovane,portico,1
bazar,giovane,1
giovane,piazza,1
giovane,seduzione,1
giovane,lussurioso,1
effimero,giovane,1
bianco,linea,1
bianco,figura,2
bianco,triangolo,1
attimo,bianco,1
bianco,personaggio,1
bianco,scena,1
bianco,cieco,1
bianco,cortigiana,1
bianco,cannone,1
bianco,portico,1
bazar,bianco,1
bianco,piazza,1
bianco,seduzione,1
bianco,lussurioso,1
bianco,effimero,1
figura,linea,1
linea,triangolo,1
attimo,linea,1
linea,personaggio,1
linea,scena,1
cieco,linea,1
cortigiana,linea,1
cannone,linea,1
linea,portico,1
bazar,linea,1
linea,piazza,1
linea,seduzione,1
linea,lussurioso,1
effimero,linea,1
figura,triangolo,1
attimo,figura,1
figura,personaggio,1
figura,scena,1
cieco,figura,1
cortigiana,figura,1
cannone,figura,1
figura,portico,1
bazar,figura,1
figura,piazza,1
figura,seduzione,1
figura,lussurioso,1
effimero,figura,1
attimo,triangolo,1
personaggio,triangolo,1
scena,triangolo,1
cieco,triangolo,1
cortigiana,triangolo,1
cannone,triangolo,1
portico,triangolo,1
bazar,triangolo,1
piazza,triangolo,1
seduzione,triangolo,1
lussurioso,triangolo,1
effimero,triangolo,1
attimo,personaggio,1
attimo,scena,1
attimo,cieco,1
attimo,cortigiana,1
attimo,cannone,1
attimo,portico,1
attimo,bazar,1
attimo,piazza,1
attimo,seduzione,1
attimo,lussurioso,1
attimo,effimero,1
personaggio,scena,1
cieco,personaggio,1
cortigiana,personaggio,1
cannone,personaggio,1
personaggio,portico,1
bazar,personaggio,1
personaggio,piazza,1
personaggio,seduzione,1
lussurioso,personaggio,1
effimero,personaggio,1
cieco,scena,1
cortigiana,scena,1
cannone,scena,1
portico,scena,1
bazar,scena,1
piazza,scena,1
scena,seduzione,1
lussurioso,scena,1
effimero,scena,1
cieco,cortigiana,1
cannone,cieco,1
cieco,portico,1
bazar,cieco,1
cieco,piazza,1
cieco,seduzione,1
cieco,lussurioso,1
cieco,effimero,1
cannone,cortigiana,1
cortigiana,portico,1
bazar,cortigiana,1
cortigiana,piazza,1
cortigiana,seduzione,1
cortigiana,lussurioso,1
cortigiana,effimero,1
cannone,portico,1
bazar,cannone,1
cannone,piazza,1
cannone,seduzione,1
cannone,lussurioso,1
cannone,effimero,1
bazar,portico,1
piazza,portico,1
portico,seduzione,1
lussurioso,portico,1
effimero,portico,1
bazar,piazza,1
bazar,seduzione,1
bazar,lussurioso,1
bazar,effimero,1
piazza,seduzione,1
lussurioso,piazza,1
effimero,piazza,1
lussurioso,seduzione,1
effimero,seduzione,1
effimero,lussurioso,1
città,territorio,2
capitale,città,1
città,vedere,2
città,eguale,1
città,dissimile,1
città,vasto,1
città,ondulato,1
città,solo,2
città,vuoto,3
città,turno,1
città,ora,1
città,giorno,3
città,mestiere,3
casa,città,4
città,vicino,1
città,nuovo,2
città,paesaggio,1
città,finestra,1
città,sera,1
città,vita,6
città,esposizione,1
città,corso,1
città,passaggio,2
città,molteplice,1
città,spazio,1
città,uguale,2
cambiato,città,1
città,identico,1
città,volubile,1
città,sacro,1
ambiguo,città,1
capitale,territorio,1
territorio,vedere,1
eguale,territorio,1
dissimile,territorio,1
territorio,vasto,1
ondulato,territorio,1
solo,territorio,1
altro,territorio,1
territorio,vuoto,1
territorio,turno,1
ora,territorio,1
giorno,territorio,1
mestiere,territorio,1
casa,territorio,2
territorio,vicino,1
nuovo,territorio,1
