Source,Target,Weight
città,piazza,1
città,mezzo,2
città,millantatore,1
città,porta,2
città,giovane,1
avaro,città,1
città,ultimo,3
amoroso,città,1
città,sciocco,1
anno,città,3
città,stesso,5
città,posto,2
città,primo,2
città,ingresso,1
città,nuovo,2
città,irato,1
città,spiritoso,1
città,voce,1
città,scena,1
città,precedente,1
città,solo,1
città,dialogante,1
città,tempo,2
città,moltiplicato,1
basso,città,1
città,prima,3
città,finale,1
città,matassa,1
città,ostacolo,1
città,momento,3
città,successivo,1
città,vita,5
breve,città,1
mezzo,piazza,1
millantatore,piazza,1
piazza,porta,1
giovane,piazza,1
avaro,piazza,2
piazza,ultimo,1
amoroso,piazza,2
piazza,sciocco,2
anno,piazza,1
piazza,stesso,2
piazza,posto,2
piazza,primo,1
ingresso,piazza,1
nuovo,piazza,1
irato,piazza,1
piazza,spiritoso,1
piazza,voce,1
piazza,scena,2
piazza,precedente,1
piazza,solo,1
dialogante,piazza,1
piazza,tempo,2
moltiplicato,piazza,1
basso,piazza,1
piazza,prima,1
finale,piazza,1
matassa,piazza,1
ostacolo,piazza,1
momento,piazza,1
piazza,successivo,1
piazza,vita,1
breve,piazza,1
mezzo,millantatore,1
mezzo,porta,1
giovane,mezzo,1
avaro,mezzo,1
mezzo,ultimo,1
amoroso,mezzo,1
mezzo,sciocco,1
anno,mezzo,2
mezzo,stesso,2
mezzo,posto,2
mezzo,primo,1
ingresso,mezzo,1
mezzo,nuovo,1
irato,mezzo,1
mezzo,spiritoso,1
mezzo,voce,1
mezzo,scena,1
mezzo,precedente,1
mezzo,solo,1
dialogante,mezzo,1
mezzo,tempo,1
mezzo,moltiplicato,1
basso,mezzo,1
mezzo,prima,2
finale,mezzo,1
matassa,mezzo,1
mezzo,ostacolo,1
mezzo,momento,2
mezzo,successivo,1
mezzo,vita,2
breve,mezzo,1
millantatore,porta,1
giovane,millantatore,1
avaro,millantatore,1
millantatore,ultimo,1
amoroso,millantatore,1
millantatore,sciocco,1
anno,millantatore,1
millantatore,stesso,1
millantatore,posto,1
millantatore,primo,1
ingresso,millantatore,1
millantatore,nuovo,1
irato,millantatore,1
millantatore,spiritoso,1
millantatore,voce,1
millantatore,scena,1
millantatore,precedente,1
millantatore,solo,1
dialogante,millantatore,1
millantatore,tempo,1
millantatore,moltiplicato,1
basso,millantatore,1
millantatore,prima,1
finale,millantatore,1
matassa,millantatore,1
millantatore,ostacolo,1
millantatore,momento,1
millantatore,successivo,1
millantatore,vita,1
breve,millantatore,1
giovane,porta,1
avaro,porta,1
porta,ultimo,1
amoroso,porta,1
porta,sciocco,1
anno,porta,1
porta,stesso,1
porta,posto,1
porta,primo,1
ingresso,porta,1
nuovo,porta,1
irato,porta,1
porta,spiritoso,1
porta,voce,1
porta,scena,1
porta,precedente,1
porta,solo,1
dialogante,porta,1
porta,tempo,1
moltiplicato,porta,1
basso,porta,1
porta,prima,1
finale,porta,1
matassa,porta,1
ostacolo,porta,1
momento,porta,1
porta,successivo,1
porta,vita,1
breve,porta,1
avaro,giovane,1
giovane,ultimo,1
amoroso,giovane,1
giovane,sciocco,1
anno,giovane,1
giovane,stesso,1
giovane,posto,1
giovane,primo,1
giovane,ingresso,1
giovane,nuovo,1
giovane,irato,1
giovane,spiritoso,1
giovane,voce,1
giovane,scena,1
giovane,precedente,1
giovane,solo,1
dialogante,giovane,1
giovane,tempo,1
giovane,moltiplicato,1
basso,giovane,1
giovane,prima,1
finale,giovane,1
giovane,matassa,1
giovane,ostacolo,1
giovane,momento,1
giovane,successivo,1
giovane,vita,1
breve,giovane,1
avaro,ultimo,1
amoroso,avaro,2
avaro,sciocco,2
anno,avaro,1
avaro,stesso,2
avaro,posto,2
avaro,primo,1
avaro,ingresso,1
avaro,nuovo,1
avaro,irato,1
avaro,spiritoso,1
avaro,voce,1
avaro,scena,2
avaro,precedente,1
avaro,solo,1
avaro,dialogante,1
avaro,tempo,2
avaro,moltiplicato,1
avaro,basso,1
avaro,prima,1
avaro,finale,1
avaro,matassa,1
avaro,ostacolo,1
avaro,momento,1
avaro,successivo,1
avaro,vita,1
avaro,breve,1
amoroso,ultimo,1
sciocco,ultimo,1
anno,ultimo,2
stesso,ultimo,3
posto,ultimo,1
primo,ultimo,2
ingresso,ultimo,1
nuovo,ultimo,1
irato,ultimo,1
spiritoso,ultimo,1
ultimo,voce,1
scena,ultimo,1
precedente,ultimo,1
solo,ultimo,1
dialogante,ultimo,1
tempo,ultimo,2
moltiplicato,ultimo,1
basso,ultimo,1
prima,ultimo,1
finale,ultimo,1
matassa,ultimo,1
ostacolo,ultimo,1
momento,ultimo,1
successivo,ultimo,1
ultimo,vita,2
breve,ultimo,1
amoroso,sciocco,2
amoroso,anno,1
amoroso,stesso,2
amoroso,posto,2
amoroso,primo,1
amoroso,ingresso,1
amoroso,nuovo,1
amoroso,irato,1
amoroso,spiritoso,1
amoroso,voce,1
amoroso,scena,2
amoroso,precedente,1
amoroso,solo,1
amoroso,dialogante,1
amoroso,tempo,2
amoroso,moltiplicato,1
amoroso,basso,1
amoroso,prima,1
amoroso,finale,1
amoroso,matassa,1
amoroso,ostacolo,1
amoroso,momento,1
amoroso,successivo,1
amoroso,vita,1
amoroso,breve,1
anno,sciocco,1
sciocco,stesso,2
posto,sciocco,2
primo,sciocco,1
ingresso,sciocco,1
nuovo,sciocco,1
irato,sciocco,1
sciocco,spiritoso,1
sciocco,voce,1
scena,sciocco,2
precedente,sciocco,1
sciocco,solo,1
dialogante,sciocco,1
sciocco,tempo,2
moltiplicato,sciocco,1
basso,sciocco,1
prima,sciocco,1
finale,sciocco,1
matassa,sciocco,1
ostacolo,sciocco,1
momento,sciocco,1
sciocco,successivo,1
sciocco,vita,1
breve,sciocco,1
anno,stesso,3
anno,posto,2
anno,primo,2
anno,ingresso,1
anno,nuovo,1
anno,irato,1
anno,spiritoso,1
anno,voce,1
anno,scena,1
anno,precedente,1
anno,solo,1
anno,dialogante,1
anno,tempo,2
anno,moltiplicato,1
anno,basso,1
anno,prima,2
anno,finale,1
anno,matassa,1
anno,ostacolo,1
anno,momento,2
anno,successivo,1
anno,vita,3
anno,breve,1
posto,stesso,3
primo,stesso,2
ingresso,stesso,1
nuovo,stesso,1
irato,stesso,1
spiritoso,stesso,1
stesso,voce,1
scena,stesso,2
precedente,stesso,1
solo,stesso,1
dialogante,stesso,1
stesso,tempo,3
moltiplicato,stesso,1
basso,stesso,1
prima,stesso,2
finale,stesso,1
matassa,stesso,1
ostacolo,stesso,1
momento,stesso,2
stesso,successivo,1
stesso,vita,4
breve,stesso,1
posto,primo,1
ingresso,posto,1
nuovo,posto,1
irato,posto,1
posto,spiritoso,1
posto,voce,1
posto,scena,2
posto,precedente,1
posto,solo,1
dialogante,posto,1
posto,tempo,2
moltiplicato,posto,1
basso,posto,1
posto,prima,2
finale,posto,1
matassa,posto,1
ostacolo,posto,1
momento,posto,2
posto,successivo,1
posto,vita,2
breve,posto,1
ingresso,primo,1
nuovo,primo,1
irato,primo,1
primo,spiritoso,1
primo,voce,1
primo,scena,1
precedente,primo,1
primo,solo,1
dialogante,primo,1
primo,tempo,2
moltiplicato,primo,1
basso,primo,1
prima,primo,1
finale,primo,1
matassa,primo,1
ostacolo,primo,1
momento,primo,1
primo,successivo,1
primo,vita,2
breve,primo,1
ingresso,nuovo,1
ingresso,irato,1
ingresso,spiritoso,1
ingresso,voce,1
ingresso,scena,1
ingresso,precedente,1
ingresso,solo,1
dialogante,ingresso,1
ingresso,tempo,1
ingresso,moltiplicato,1
basso,ingresso,1
ingresso,prima,1
finale,ingresso,1
ingresso,matassa,1
ingresso,ostacolo,1
ingresso,momento,1
ingresso,successivo,1
ingresso,vita,1
breve,ingresso,1
irato,nuovo,1
nuovo,spiritoso,1
nuovo,voce,1
nuovo,scena,1
nuovo,precedente,1
nuovo,solo,1
dialogante,nuovo,1
nuovo,tempo,1
moltiplicato,nuovo,1
basso,nuovo,1
nuovo,prima,2
finale,nuovo,1
matassa,nuovo,1
nuovo,ostacolo,1
momento,nuovo,2
nuovo,successivo,1
nuovo,vita,2
breve,nuovo,1
irato,spiritoso,1
irato,voce,1
irato,scena,1
irato,precedente,1
irato,solo,1
dialogante,irato,1
irato,tempo,1
irato,moltiplicato,1
basso,irato,1
irato,prima,1
finale,irato,1
irato,matassa,1
irato,ostacolo,1
irato,momento,1
irato,successivo,1
irato,vita,1
breve,irato,1
