Source,Target,Weight
città,segno,11
città,strada,1
città,teatro,1
bazar,città,1
città,impero,1
città,edificio,2
città,differente,1
città,disporre,1
città,diverso,1
città,sconosciuto,1
città,sguardo,2
città,mezzo,3
città,fienile,1
città,orto,1
città,immondezzaio,1
città,palazzo,3
città,grande,2
città,locanda,1
città,prigione,2
città,figura,4
città,forma,3
città,particolare,1
città,luogo,3
città,oro,1
città,piramide,1
città,lazzaretto,1
città,punto,2
città,momento,1
città,tutto,1
città,stesso,4
città,indivisibile,1
città,linea,1
città,dentro,1
città,fuori,3
città,rombo,1
segno,strada,1
segno,teatro,1
bazar,segno,1
impero,segno,1
edificio,segno,2
differente,segno,1
disporre,segno,1
diverso,segno,1
sconosciuto,segno,1
segno,sguardo,2
mezzo,segno,3
fienile,segno,1
orto,segno,1
immondezzaio,segno,1
palazzo,segno,3
grande,segno,2
locanda,segno,1
prigione,segno,2
figura,segno,4
forma,segno,3
particolare,segno,1
luogo,segno,2
oro,segno,1
piramide,segno,1
lazzaretto,segno,1
punto,segno,1
momento,segno,1
segno,tutto,1
segno,stesso,4
indivisibile,segno,1
linea,segno,1
dentro,segno,1
fuori,segno,3
rombo,segno,1
strada,teatro,1
bazar,strada,1
impero,strada,1
edificio,strada,1
differente,strada,1
disporre,strada,1
diverso,strada,1
sconosciuto,strada,1
sguardo,strada,1
mezzo,strada,1
fienile,strada,1
orto,strada,1
immondezzaio,strada,1
palazzo,strada,1
grande,strada,1
locanda,strada,1
prigione,strada,1
figura,strada,1
forma,strada,1
particolare,strada,1
luogo,strada,1
oro,strada,1
piramide,strada,1
lazzaretto,strada,1
punto,strada,1
momento,strada,1
strada,tutto,1
stesso,strada,1
indivisibile,strada,1
linea,strada,1
dentro,strada,1
fuori,strada,1
rombo,strada,1
bazar,teatro,1
impero,teatro,1
edificio,teatro,1
differente,teatro,1
disporre,teatro,1
diverso,teatro,1
sconosciuto,teatro,1
sguardo,teatro,1
mezzo,teatro,1
fienile,teatro,1
orto,teatro,1
immondezzaio,teatro,1
palazzo,teatro,1
grande,teatro,1
locanda,teatro,1
prigione,teatro,1
figura,teatro,1
forma,teatro,1
particolare,teatro,1
luogo,teatro,1
oro,teatro,1
piramide,teatro,1
lazzaretto,teatro,1
punto,teatro,1
momento,teatro,1
teatro,tutto,1
stesso,teatro,1
indivisibile,teatro,1
linea,teatro,1
dentro,teatro,1
fuori,teatro,1
rombo,teatro,1
bazar,impero,1
bazar,edificio,1
bazar,differente,1
bazar,disporre,1
bazar,diverso,1
bazar,sconosciuto,1
bazar,sguardo,1
bazar,mezzo,1
bazar,fienile,1
bazar,orto,1
bazar,immondezzaio,1
bazar,palazzo,1
bazar,grande,1
bazar,locanda,1
bazar,prigione,1
bazar,figura,1
bazar,forma,1
bazar,particolare,1
bazar,luogo,1
bazar,oro,1
bazar,piramide,1
bazar,lazzaretto,1
bazar,punto,1
bazar,momento,1
bazar,tutto,1
bazar,stesso,1
bazar,indivisibile,1
bazar,linea,1
bazar,dentro,1
bazar,fuori,1
bazar,rombo,1
edificio,impero,1
differente,impero,1
disporre,impero,1
diverso,impero,1
impero,sconosciuto,1
impero,sguardo,1
impero,mezzo,1
fienile,impero,1
impero,orto,1
immondezzaio,impero,1
impero,palazzo,1
grande,impero,1
impero,locanda,1
impero,prigione,1
figura,impero,1
forma,impero,1
impero,particolare,1
impero,luogo,1
impero,oro,1
impero,piramide,1
impero,lazzaretto,1
impero,punto,1
impero,momento,1
impero,tutto,1
impero,stesso,1
impero,indivisibile,1
impero,linea,1
dentro,impero,1
fuori,impero,1
impero,rombo,1
differente,edificio,1
disporre,edificio,1
diverso,edificio,1
edificio,sconosciuto,1
edificio,sguardo,2
edificio,mezzo,1
edificio,fienile,1
edificio,orto,1
edificio,immondezzaio,1
edificio,palazzo,1
edificio,grande,1
edificio,locanda,1
edificio,prigione,2
edificio,figura,2
edificio,forma,2
edificio,particolare,1
edificio,luogo,2
edificio,oro,1
edificio,piramide,1
edificio,lazzaretto,1
edificio,punto,1
edificio,momento,1
edificio,tutto,1
