Source,Target,Weight
alto,città,1
basso,città,2
città,tortuoso,1
catapecchia,città,1
città,vero,6
città,forma,5
città,primo,2
città,vista,1
città,figura,1
città,simmetrico,1
città,linea,2
città,retto,1
città,colore,1
città,splendente,1
città,luogo,6
città,secondo,3
città,rapporto,2
città,macchia,2
città,prospettiva,1
città,parziale,1
città,punto,4
città,schema,1
città,geometrico,1
città,minimo,1
città,facile,1
città,strada,1
città,cremisi,1
città,indaco,1
città,lungo,4
città,recinto,1
città,color,1
città,porpora,1
arrivo,città,1
città,confrontare,1
città,immobile,2
città,immagine,2
città,vita,3
città,svolta,1
città,misterioso,1
città,diverso,2
città,stellato,2
città,orbita,2
approssimativo,città,1
città,umano,3
città,tempo,2
certo,città,1
armonico,città,1
città,divina,1
città,stesso,4
città,modo,3
città,opposto,1
casa,città,2
buio,città,1
alto,basso,1
alto,tortuoso,1
alto,catapecchia,1
alto,vero,1
alto,forma,1
alto,primo,1
alto,vista,1
alto,figura,1
alto,simmetrico,1
alto,linea,1
alto,retto,1
alto,colore,1
alto,splendente,1
alto,luogo,1
alto,secondo,1
alto,rapporto,1
alto,macchia,1
alto,prospettiva,1
alto,parziale,1
alto,punto,1
alto,schema,1
alto,geometrico,1
alto,minimo,1
alto,facile,1
alto,strada,1
alto,cremisi,1
alto,indaco,1
alto,lungo,1
alto,recinto,1
alto,color,1
alto,porpora,1
alto,arrivo,1
alto,confrontare,1
alto,immobile,1
alto,immagine,1
alto,vita,1
alto,svolta,1
alto,misterioso,1
alto,diverso,1
alto,stellato,1
alto,orbita,1
alto,approssimativo,1
alto,umano,1
alto,tempo,1
alto,certo,1
alto,armonico,1
alto,divina,1
alto,stesso,1
alto,modo,1
alto,opposto,1
alto,casa,1
alto,buio,1
basso,tortuoso,1
basso,catapecchia,1
basso,vero,2
basso,forma,2
basso,primo,1
basso,vista,1
basso,figura,1
basso,simmetrico,1
basso,linea,1
basso,retto,1
basso,colore,1
basso,splendente,1
basso,luogo,1
basso,secondo,1
basso,rapporto,1
basso,macchia,1
basso,prospettiva,1
basso,parziale,1
basso,punto,1
basso,schema,1
basso,geometrico,1
basso,minimo,1
basso,facile,1
basso,strada,1
basso,cremisi,1
basso,indaco,1
basso,lungo,2
basso,recinto,1
basso,color,1
basso,porpora,1
arrivo,basso,1
basso,confrontare,1
basso,immobile,1
basso,immagine,2
basso,vita,1
basso,svolta,1
basso,misterioso,1
basso,diverso,1
basso,stellato,1
basso,orbita,1
approssimativo,basso,1
basso,umano,2
basso,tempo,1
basso,certo,1
armonico,basso,1
basso,divina,1
basso,stesso,2
basso,modo,1
basso,opposto,1
basso,casa,1
basso,buio,1
catapecchia,tortuoso,1
tortuoso,vero,1
forma,tortuoso,1
primo,tortuoso,1
tortuoso,vista,1
figura,tortuoso,1
simmetrico,tortuoso,1
linea,tortuoso,1
retto,tortuoso,1
colore,tortuoso,1
splendente,tortuoso,1
luogo,tortuoso,1
secondo,tortuoso,1
rapporto,tortuoso,1
macchia,tortuoso,1
prospettiva,tortuoso,1
parziale,tortuoso,1
punto,tortuoso,1
schema,tortuoso,1
geometrico,tortuoso,1
minimo,tortuoso,1
facile,tortuoso,1
strada,tortuoso,1
cremisi,tortuoso,1
indaco,tortuoso,1
lungo,tortuoso,1
recinto,tortuoso,1
color,tortuoso,1
porpora,tortuoso,1
arrivo,tortuoso,1
confrontare,tortuoso,1
immobile,tortuoso,1
immagine,tortuoso,1
tortuoso,vita,1
svolta,tortuoso,1
misterioso,tortuoso,1
diverso,tortuoso,1
stellato,tortuoso,1
orbita,tortuoso,1
approssimativo,tortuoso,1
tortuoso,umano,1
tempo,tortuoso,1
certo,tortuoso,1
armonico,tortuoso,1
divina,tortuoso,1
stesso,tortuoso,1
modo,tortuoso,1
opposto,tortuoso,1
casa,tortuoso,1
buio,tortuoso,1
catapecchia,vero,1
catapecchia,forma,1
catapecchia,primo,1
catapecchia,vista,1
catapecchia,figura,1
catapecchia,simmetrico,1
catapecchia,linea,1
catapecchia,retto,1
catapecchia,colore,1
catapecchia,splendente,1
catapecchia,luogo,1
catapecchia,secondo,1
catapecchia,rapporto,1
catapecchia,macchia,1
catapecchia,prospettiva,1
