Source,Target,Weight
centro,città,1
città,metropoli,1
città,grigio,1
città,palazzo,3
città,sfera,5
città,stanza,1
città,dentro,1
città,vedere,6
azzurro,città,1
città,modello,2
altro,città,2
città,forma,5
città,epoca,1
città,modo,3
città,ideale,1
città,prima,2
città,possibile,2
città,peschiera,1
alto,città,1
città,riservare,1
città,ora,6
città,spirale,1
città,minareto,1
base,città,2
città,impero,1
città,grande,2
città,posto,2
città,piccolo,1
città,reale,1
città,presunto,1
città,necessario,1
città,minuto,1
centro,metropoli,1
centro,grigio,1
centro,palazzo,1
centro,sfera,1
centro,stanza,1
centro,dentro,1
centro,vedere,1
azzurro,centro,1
centro,modello,1
altro,centro,1
centro,forma,1
centro,epoca,1
centro,modo,1
centro,ideale,1
centro,prima,1
centro,possibile,1
centro,peschiera,1
alto,centro,1
centro,riservare,1
centro,ora,1
centro,spirale,1
centro,minareto,1
base,centro,1
centro,impero,1
centro,grande,1
centro,posto,1
centro,piccolo,1
centro,reale,1
centro,presunto,1
centro,necessario,1
centro,minuto,1
grigio,metropoli,1
metropoli,palazzo,1
metropoli,sfera,1
metropoli,stanza,1
dentro,metropoli,1
metropoli,vedere,1
azzurro,metropoli,1
metropoli,modello,1
altro,metropoli,1
forma,metropoli,1
epoca,metropoli,1
metropoli,modo,1
ideale,metropoli,1
metropoli,prima,1
metropoli,possibile,1
metropoli,peschiera,1
alto,metropoli,1
metropoli,riservare,1
metropoli,ora,1
metropoli,spirale,1
metropoli,minareto,1
base,metropoli,1
impero,metropoli,1
grande,metropoli,1
metropoli,posto,1
metropoli,piccolo,1
metropoli,reale,1
metropoli,presunto,1
metropoli,necessario,1
metropoli,minuto,1
grigio,palazzo,1
grigio,sfera,1
grigio,stanza,1
dentro,grigio,1
grigio,vedere,1
azzurro,grigio,1
grigio,modello,1
altro,grigio,1
forma,grigio,1
epoca,grigio,1
grigio,modo,1
grigio,ideale,1
grigio,prima,1
grigio,possibile,1
grigio,peschiera,1
alto,grigio,1
grigio,riservare,1
grigio,ora,1
grigio,spirale,1
grigio,minareto,1
base,grigio,1
grigio,impero,1
grande,grigio,1
grigio,posto,1
grigio,piccolo,1
grigio,reale,1
grigio,presunto,1
grigio,necessario,1
grigio,minuto,1
palazzo,sfera,2
palazzo,stanza,1
dentro,palazzo,1
palazzo,vedere,2
azzurro,palazzo,1
modello,palazzo,2
altro,palazzo,2
forma,palazzo,2
epoca,palazzo,1
modo,palazzo,2
ideale,palazzo,1
palazzo,prima,1
palazzo,possibile,2
palazzo,peschiera,1
alto,palazzo,1
palazzo,riservare,1
ora,palazzo,1
palazzo,spirale,1
minareto,palazzo,1
base,palazzo,1
impero,palazzo,1
grande,palazzo,2
palazzo,posto,1
palazzo,piccolo,1
palazzo,reale,1
palazzo,presunto,1
necessario,palazzo,1
minuto,palazzo,1
sfera,stanza,1
dentro,sfera,1
sfera,vedere,1
azzurro,sfera,1
modello,sfera,2
altro,sfera,2
forma,sfera,1
epoca,sfera,1
modo,sfera,1
ideale,sfera,1
prima,sfera,1
possibile,sfera,2
peschiera,sfera,1
alto,sfera,1
riservare,sfera,1
ora,sfera,1
sfera,spirale,1
minareto,sfera,1
base,sfera,1
impero,sfera,1
grande,sfera,2
posto,sfera,1
piccolo,sfera,1
reale,sfera,1
presunto,sfera,1
necessario,sfera,1
minuto,sfera,1
dentro,stanza,1
stanza,vedere,1
azzurro,stanza,1
modello,stanza,1
altro,stanza,1
forma,stanza,1
epoca,stanza,1
modo,stanza,1
ideale,stanza,1
prima,stanza,1
possibile,stanza,1
peschiera,stanza,1
alto,stanza,1
riservare,stanza,1
ora,stanza,1
spirale,stanza,1
minareto,stanza,1
base,stanza,1
impero,stanza,1
grande,stanza,1
posto,stanza,1
piccolo,stanza,1
reale,stanza,1
presunto,stanza,1
necessario,stanza,1
minuto,stanza,1
dentro,vedere,1
azzurro,dentro,1
dentro,modello,1
altro,dentro,1
dentro,forma,1
dentro,epoca,1
dentro,modo,1
dentro,ideale,1
dentro,prima,1
dentro,possibile,1
dentro,peschiera,1
alto,dentro,1
dentro,riservare,1
dentro,ora,1
dentro,spirale,1
dentro,minareto,1
base,dentro,1
dentro,impero,1
dentro,grande,1
dentro,posto,1
dentro,piccolo,1
dentro,reale,1
dentro,presunto,1
dentro,necessario,1
dentro,minuto,1
azzurro,vedere,1
modello,vedere,1
altro,vedere,1
forma,vedere,4
epoca,vedere,1
modo,vedere,3
ideale,vedere,1
prima,vedere,1
possibile,vedere,1
peschiera,vedere,1
alto,vedere,1
riservare,vedere,1
ora,vedere,2
spirale,vedere,1
minareto,vedere,1
base,vedere,1
impero,vedere,1
grande,vedere,1
posto,vedere,2
piccolo,vedere,1
reale,vedere,1
presunto,vedere,1
necessario,vedere,1
minuto,vedere,1
azzurro,modello,1
altro,azzurro,1
azzurro,forma,1
azzurro,epoca,1
azzurro,modo,1
azzurro,ideale,1
azzurro,prima,1
azzurro,possibile,1
azzurro,peschiera,1
alto,azzurro,1
azzurro,riservare,1
azzurro,ora,1
azzurro,spirale,1
azzurro,minareto,1
azzurro,base,1
azzurro,impero,1
azzurro,grande,1
azzurro,posto,1
azzurro,piccolo,1
azzurro,reale,1
azzurro,presunto,1
azzurro,necessario,1
azzurro,minuto,1
altro,modello,2
forma,modello,1
epoca,modello,1
modello,modo,1
ideale,modello,1
modello,prima,1
modello,possibile,2
modello,peschiera,1
alto,modello,1
modello,riservare,1
modello,ora,1
modello,spirale,1
minareto,modello,1
base,modello,1
impero,modello,1
grande,modello,2
modello,posto,1
modello,piccolo,1
modello,reale,1
modello,presunto,1
modello,necessario,1
minuto,modello,1
altro,forma,1
altro,epoca,1
altro,modo,1
altro,ideale,1
altro,prima,1
altro,possibile,2
altro,peschiera,1
alto,altro,1
altro,riservare,1
altro,ora,1
altro,spirale,1
altro,minareto,1
altro,base,1
altro,impero,1
altro,grande,2
altro,posto,1
altro,piccolo,1
altro,reale,1
altro,presunto,1
altro,necessario,1
altro,minuto,1
epoca,forma,1
forma,modo,2
forma,ideale,1
forma,prima,1
forma,possibile,1
forma,peschiera,1
alto,forma,1
forma,riservare,1
forma,ora,3
forma,spirale,1
forma,minareto,1
base,forma,1
forma,impero,1
forma,grande,1
forma,posto,1
forma,piccolo,1
forma,reale,1
forma,presunto,1
forma,necessario,1
forma,minuto,1
epoca,modo,1
epoca,ideale,1
epoca,prima,1
epoca,possibile,1
epoca,peschiera,1
alto,epoca,1
epoca,riservare,1
epoca,ora,1
epoca,spirale,1
epoca,minareto,1
base,epoca,1
epoca,impero,1
epoca,grande,1
epoca,posto,1
epoca,piccolo,1
epoca,reale,1
epoca,presunto,1
epoca,necessario,1
epoca,minuto,1
ideale,modo,1
modo,prima,1
modo,possibile,1
modo,peschiera,1
alto,modo,1
modo,riservare,1
modo,ora,1
modo,spirale,1
minareto,modo,1
base,modo,1
impero,modo,1
grande,modo,1
modo,posto,2
modo,piccolo,1
modo,reale,1
modo,presunto,1
modo,necessario,1
minuto,modo,1
ideale,prima,1
ideale,possibile,1
ideale,peschiera,1
alto,ideale,1
ideale,riservare,1
ideale,ora,1
ideale,spirale,1
ideale,minareto,1
base,ideale,1
ideale,impero,1
grande,ideale,1
ideale,posto,1
ideale,piccolo,1
ideale,reale,1
ideale,presunto,1
ideale,necessario,1
ideale,minuto,1
possibile,prima,1
peschiera,prima,1
alto,prima,1
prima,riservare,1
ora,prima,2
prima,spirale,1
minareto,prima,1
base,prima,2
impero,prima,1
grande,prima,1
posto,prima,1
piccolo,prima,1
prima,reale,1
presunto,prima,1
necessario,prima,1
minuto,prima,1
peschiera,possibile,1
alto,possibile,1
possibile,riservare,1
ora,possibile,1
possibile,spirale,1
minareto,possibile,1
base,possibile,1
impero,possibile,1
grande,possibile,2
possibile,posto,1
piccolo,possibile,1
possibile,reale,1
possibile,presunto,1
necessario,possibile,1
minuto,possibile,1
alto,peschiera,1
peschiera,riservare,1
ora,peschiera,1
peschiera,spirale,1
minareto,peschiera,1
base,peschiera,1
impero,peschiera,1
grande,peschiera,1
peschiera,posto,1
peschiera,piccolo,1
peschiera,reale,1
peschiera,presunto,1
necessario,peschiera,1
minuto,peschiera,1
alto,riservare,1
alto,ora,1
alto,spirale,1
alto,minareto,1
alto,base,1
alto,impero,1
alto,grande,1
alto,posto,1
alto,piccolo,1
alto,reale,1
alto,presunto,1
alto,necessario,1
alto,minuto,1
ora,riservare,1
riservare,spirale,1
minareto,riservare,1
base,riservare,1
impero,riservare,1
grande,riservare,1
posto,riservare,1
piccolo,riservare,1
reale,riservare,1
presunto,riservare,1
necessario,riservare,1
minuto,riservare,1
ora,spirale,1
minareto,ora,1
base,ora,2
impero,ora,1
grande,ora,1
ora,posto,1
ora,piccolo,1
ora,reale,1
ora,presunto,1
necessario,ora,1
minuto,ora,1
minareto,spirale,1
base,spirale,1
impero,spirale,1
grande,spirale,1
posto,spirale,1
piccolo,spirale,1
reale,spirale,1
presunto,spirale,1
necessario,spirale,1
minuto,spirale,1
base,minareto,1
impero,minareto,1
grande,minareto,1
minareto,posto,1
minareto,piccolo,1
minareto,reale,1
minareto,presunto,1
minareto,necessario,1
minareto,minuto,1
base,impero,1
base,grande,1
base,posto,1
base,piccolo,1
base,reale,1
base,presunto,1
base,necessario,1
base,minuto,1
grande,impero,1
impero,posto,1
impero,piccolo,1
impero,reale,1
