Source,Target,Weight
città,fuori,3
città,stesso,1
città,proverbiale,2
città,difetto,3
città,puntiglioso,1
antichi,città,1
città,veritiere,1
città,durevole,1
città,tempo,2
città,vedere,10
città,eccentrico,1
città,usuale,1
città,vero,4
città,immagine,1
città,solido,1
città,compatto,2
città,sparso,1
città,posto,5
città,persona,1
città,sbiadito,1
città,ora,4
città,scorcio,1
città,strada,2
aprirtiso,città,1
città,davanti,1
città,inconfondibile,2
città,magnifico,1
città,terra,1
città,distinto,1
fuori,stesso,1
fuori,proverbiale,1
difetto,fuori,1
fuori,puntiglioso,1
antichi,fuori,1
fuori,veritiere,1
durevole,fuori,1
fuori,tempo,2
fuori,vedere,2
eccentrico,fuori,1
fuori,usuale,1
fuori,vero,1
fuori,immagine,1
fuori,solido,1
compatto,fuori,2
fuori,sparso,1
fuori,posto,2
fuori,persona,1
fuori,sbiadito,1
fuori,ora,3
fuori,scorcio,1
fuori,strada,1
aprirtiso,fuori,1
davanti,fuori,1
fuori,inconfondibile,1
fuori,magnifico,1
fuori,terra,1
distinto,fuori,1
proverbiale,stesso,1
difetto,stesso,1
puntiglioso,stesso,1
antichi,stesso,1
stesso,veritiere,1
durevole,stesso,1
stesso,tempo,1
stesso,vedere,1
eccentrico,stesso,1
stesso,usuale,1
stesso,vero,1
immagine,stesso,1
solido,stesso,1
compatto,stesso,1
sparso,stesso,1
posto,stesso,1
persona,stesso,1
sbiadito,stesso,1
ora,stesso,1
scorcio,stesso,1
stesso,strada,1
aprirtiso,stesso,1
davanti,stesso,1
inconfondibile,stesso,1
magnifico,stesso,1
stesso,terra,1
distinto,stesso,1
difetto,proverbiale,2
proverbiale,puntiglioso,1
antichi,proverbiale,1
proverbiale,veritiere,1
durevole,proverbiale,1
proverbiale,tempo,1
proverbiale,vedere,2
eccentrico,proverbiale,1
proverbiale,usuale,1
proverbiale,vero,2
immagine,proverbiale,1
proverbiale,solido,1
compatto,proverbiale,1
proverbiale,sparso,1
posto,proverbiale,1
persona,proverbiale,1
proverbiale,sbiadito,1
ora,proverbiale,1
proverbiale,scorcio,1
proverbiale,strada,1
aprirtiso,proverbiale,1
davanti,proverbiale,1
inconfondibile,proverbiale,1
magnifico,proverbiale,1
proverbiale,terra,1
distinto,proverbiale,1
difetto,puntiglioso,1
antichi,difetto,1
difetto,veritiere,1
difetto,durevole,1
difetto,tempo,1
difetto,vedere,3
difetto,eccentrico,1
difetto,usuale,1
difetto,vero,2
difetto,immagine,1
difetto,solido,1
compatto,difetto,1
difetto,sparso,1
difetto,posto,1
difetto,persona,1
difetto,sbiadito,1
difetto,ora,1
difetto,scorcio,1
difetto,strada,1
aprirtiso,difetto,1
davanti,difetto,1
difetto,inconfondibile,1
difetto,magnifico,1
difetto,terra,1
difetto,distinto,1
antichi,puntiglioso,1
puntiglioso,veritiere,1
durevole,puntiglioso,1
puntiglioso,tempo,1
puntiglioso,vedere,1
eccentrico,puntiglioso,1
puntiglioso,usuale,1
puntiglioso,vero,1
immagine,puntiglioso,1
puntiglioso,solido,1
compatto,puntiglioso,1
puntiglioso,sparso,1
posto,puntiglioso,1
persona,puntiglioso,1
puntiglioso,sbiadito,1
ora,puntiglioso,1
puntiglioso,scorcio,1
puntiglioso,strada,1
aprirtiso,puntiglioso,1
davanti,puntiglioso,1
inconfondibile,puntiglioso,1
magnifico,puntiglioso,1
puntiglioso,terra,1
distinto,puntiglioso,1
