Source,Target,Weight
città,giornata,2
città,cupola,1
città,statua,2
bronzo,città,1
città,lastricato,1
città,teatro,1
città,oro,1
città,mattina,1
città,torre,2
bellezza,città,2
città,vedere,3
altro,città,2
città,sera,2
città,settembre,1
città,multicolore,1
città,porta,2
città,friggitorio,1
città,terrazza,1
città,voce,2
città,donna,2
città,ora,1
città,uguale,3
città,felice,1
cupola,giornata,1
giornata,statua,1
bronzo,giornata,1
giornata,lastricato,1
giornata,teatro,1
giornata,oro,1
giornata,mattina,1
giornata,torre,1
bellezza,giornata,1
giornata,vedere,1
altro,giornata,1
giornata,sera,2
giornata,settembre,1
giornata,multicolore,1
giornata,porta,1
friggitorio,giornata,1
giornata,terrazza,1
giornata,voce,1
donna,giornata,1
giornata,ora,1
giornata,uguale,1
felice,giornata,1
cupola,statua,1
bronzo,cupola,1
cupola,lastricato,1
cupola,teatro,1
cupola,oro,1
cupola,mattina,1
cupola,torre,1
bellezza,cupola,1
cupola,vedere,1
altro,cupola,1
cupola,sera,1
cupola,settembre,1
cupola,multicolore,1
cupola,porta,1
cupola,friggitorio,1
cupola,terrazza,1
cupola,voce,1
cupola,donna,1
cupola,ora,1
cupola,uguale,1
cupola,felice,1
bronzo,statua,1
lastricato,statua,1
statua,teatro,1
oro,statua,1
mattina,statua,1
statua,torre,2
bellezza,statua,2
statua,vedere,2
altro,statua,1
sera,statua,1
settembre,statua,1
multicolore,statua,1
porta,statua,2
friggitorio,statua,1
statua,terrazza,1
statua,voce,1
donna,statua,1
ora,statua,1
statua,uguale,2
felice,statua,1
bronzo,lastricato,1
bronzo,teatro,1
bronzo,oro,1
bronzo,mattina,1
bronzo,torre,1
bellezza,bronzo,1
bronzo,vedere,1
altro,bronzo,1
bronzo,sera,1
bronzo,settembre,1
bronzo,multicolore,1
bronzo,porta,1
bronzo,friggitorio,1
bronzo,terrazza,1
bronzo,voce,1
bronzo,donna,1
bronzo,ora,1
bronzo,uguale,1
bronzo,felice,1
lastricato,teatro,1
lastricato,oro,1
lastricato,mattina,1
lastricato,torre,1
bellezza,lastricato,1
lastricato,vedere,1
altro,lastricato,1
lastricato,sera,1
lastricato,settembre,1
lastricato,multicolore,1
lastricato,porta,1
friggitorio,lastricato,1
lastricato,terrazza,1
lastricato,voce,1
donna,lastricato,1
