Source,Target,Weight
città,nascosto,5
città,punto,3
città,grande,5
capocchia,città,1
città,ingrandire,1
città,vedere,4
città,dentro,7
città,giardino,1
chiosco,città,1
città,piazza,1
campo,città,1
anno,città,4
città,mezzo,3
città,porcino,1
città,naturale,2
città,prima,6
città,nuovo,7
città,fuori,1
città,solo,2
città,concentrico,1
altro,città,4
città,vecchio,4
cerchia,città,1
città,muro,3
città,stretto,3
campanile,città,1
città,cupola,1
cintura,città,1
antico,città,2
città,largo,1
città,orizzonte,2
città,confine,1
città,perimetro,1
città,posto,2
città,recente,1
città,cuore,1
città,ridotto,1
città,tratto,1
città,primo,2
cerchio,città,1
città,interno,2
città,difficile,1
nascosto,punto,2
grande,nascosto,4
capocchia,nascosto,1
ingrandire,nascosto,1
nascosto,vedere,3
dentro,nascosto,3
giardino,nascosto,1
chiosco,nascosto,1
nascosto,piazza,1
campo,nascosto,1
anno,nascosto,3
mezzo,nascosto,1
nascosto,porcino,1
nascosto,naturale,2
nascosto,prima,4
nascosto,nuovo,4
fuori,nascosto,1
nascosto,solo,2
concentrico,nascosto,1
altro,nascosto,3
nascosto,vecchio,2
cerchia,nascosto,1
muro,nascosto,2
nascosto,stretto,2
campanile,nascosto,1
cupola,nascosto,1
cintura,nascosto,1
antico,nascosto,2
largo,nascosto,1
nascosto,orizzonte,2
confine,nascosto,1
nascosto,perimetro,1
nascosto,posto,2
nascosto,recente,1
cuore,nascosto,1
nascosto,ridotto,1
nascosto,tratto,1
nascosto,primo,2
cerchio,nascosto,1
interno,nascosto,2
difficile,nascosto,1
grande,punto,3
capocchia,punto,1
ingrandire,punto,1
punto,vedere,2
dentro,punto,3
giardino,punto,1
chiosco,punto,1
piazza,punto,1
campo,punto,1
anno,punto,2
mezzo,punto,2
porcino,punto,1
naturale,punto,1
prima,punto,2
nuovo,punto,3
fuori,punto,1
punto,solo,1
concentrico,punto,1
altro,punto,1
punto,vecchio,2
cerchia,punto,1
muro,punto,2
punto,stretto,2
campanile,punto,1
cupola,punto,1
cintura,punto,1
antico,punto,1
largo,punto,1
orizzonte,punto,1
confine,punto,1
perimetro,punto,1
posto,punto,1
punto,recente,1
cuore,punto,1
punto,ridotto,1
punto,tratto,1
primo,punto,1
cerchio,punto,1
interno,punto,1
difficile,punto,1
capocchia,grande,1
grande,ingrandire,1
grande,vedere,2
dentro,grande,4
giardino,grande,1
chiosco,grande,1
grande,piazza,1
campo,grande,1
anno,grande,3
grande,mezzo,2
grande,porcino,1
grande,naturale,2
grande,prima,4
grande,nuovo,4
fuori,grande,1
grande,solo,1
concentrico,grande,1
altro,grande,3
grande,vecchio,2
cerchia,grande,1
grande,muro,2
grande,stretto,3
campanile,grande,1
cupola,grande,1
cintura,grande,1
antico,grande,2
