Source,Target,Weight
città,sottile,6
città,profondo,1
città,sotterraneo,2
città,terra,1
città,lungo,2
buco,città,1
città,verticale,3
città,perimetro,1
città,verdeggiante,1
buio,città,1
città,sepolto,1
città,paesaggio,1
città,invisibile,1
città,visibile,1
città,sole,2
calcareo,città,1
città,secondo,2
città,profondità,1
città,nero,1
città,vena,2
città,sotterrraneo,1
città,fuori,1
castello,città,1
città,traliccio,1
cima,città,1
arco,città,1
acquedotto,città,1
città,colonna,1
aereo,città,1
città,tutto,1
alto,città,2
profondo,sottile,1
sotterraneo,sottile,2
sottile,terra,1
lungo,sottile,2
buco,sottile,1
sottile,verticale,3
perimetro,sottile,1
sottile,verdeggiante,1
buio,sottile,1
sepolto,sottile,1
paesaggio,sottile,1
invisibile,sottile,1
sottile,visibile,1
sole,sottile,2
calcareo,sottile,1
secondo,sottile,2
profondità,sottile,1
nero,sottile,1
sottile,vena,2
sotterrraneo,sottile,1
fuori,sottile,1
castello,sottile,1
sottile,traliccio,1
cima,sottile,1
arco,sottile,1
acquedotto,sottile,1
colonna,sottile,1
aereo,sottile,1
sottile,tutto,1
alto,sottile,2
profondo,sotterraneo,1
profondo,terra,1
lungo,profondo,1
buco,profondo,1
profondo,verticale,1
perimetro,profondo,1
profondo,verdeggiante,1
buio,profondo,1
profondo,sepolto,1
paesaggio,profondo,1
invisibile,profondo,1
profondo,visibile,1
profondo,sole,1
calcareo,profondo,1
profondo,secondo,1
profondità,profondo,1
nero,profondo,1
profondo,vena,1
profondo,sotterrraneo,1
fuori,profondo,1
castello,profondo,1
profondo,traliccio,1
cima,profondo,1
arco,profondo,1
acquedotto,profondo,1
colonna,profondo,1
aereo,profondo,1
profondo,tutto,1
alto,profondo,1
sotterraneo,terra,1
lungo,sotterraneo,2
buco,sotterraneo,1
sotterraneo,verticale,2
perimetro,sotterraneo,1
sotterraneo,verdeggiante,1
buio,sotterraneo,1
sepolto,sotterraneo,1
paesaggio,sotterraneo,1
invisibile,sotterraneo,1
sotterraneo,visibile,1
sole,sotterraneo,2
calcareo,sotterraneo,1
secondo,sotterraneo,1
profondità,sotterraneo,1
nero,sotterraneo,1
sotterraneo,vena,2
sotterraneo,sotterrraneo,1
fuori,sotterraneo,1
castello,sotterraneo,1
sotterraneo,traliccio,1
cima,sotterraneo,1
arco,sotterraneo,1
acquedotto,sotterraneo,1
colonna,sotterraneo,1
aereo,sotterraneo,1
sotterraneo,tutto,1
alto,sotterraneo,2
lungo,terra,1
buco,terra,1
terra,verticale,1
perimetro,terra,1
terra,verdeggiante,1
buio,terra,1
sepolto,terra,1
paesaggio,terra,1
invisibile,terra,1
terra,visibile,1
sole,terra,1
calcareo,terra,1
secondo,terra,1
profondità,terra,1
nero,terra,1
terra,vena,1
sotterrraneo,terra,1
fuori,terra,1
castello,terra,1
terra,traliccio,1
cima,terra,1
arco,terra,1
acquedotto,terra,1
colonna,terra,1
aereo,terra,1
terra,tutto,1
alto,terra,1
buco,lungo,1
lungo,verticale,2
lungo,perimetro,1
lungo,verdeggiante,1
buio,lungo,1
lungo,sepolto,1
lungo,paesaggio,1
invisibile,lungo,1
lungo,visibile,1
lungo,sole,2
calcareo,lungo,1
lungo,secondo,1
lungo,profondità,1
lungo,nero,1
lungo,vena,2
lungo,sotterrraneo,1
fuori,lungo,1
castello,lungo,1
lungo,traliccio,1
cima,lungo,1
arco,lungo,1
acquedotto,lungo,1
colonna,lungo,1
aereo,lungo,1
lungo,tutto,1
alto,lungo,2
buco,verticale,1
buco,perimetro,1
buco,verdeggiante,1
buco,buio,1
buco,sepolto,1
buco,paesaggio,1
buco,invisibile,1
buco,visibile,1
buco,sole,1
buco,calcareo,1
buco,secondo,1
buco,profondità,1
buco,nero,1
buco,vena,1
buco,sotterrraneo,1
buco,fuori,1
buco,castello,1
buco,traliccio,1
buco,cima,1
arco,buco,1
acquedotto,buco,1
buco,colonna,1
aereo,buco,1
buco,tutto,1
alto,buco,1
perimetro,verticale,1
verdeggiante,verticale,1
buio,verticale,1
sepolto,verticale,1
paesaggio,verticale,1
invisibile,verticale,1
verticale,visibile,1
sole,verticale,2
calcareo,verticale,1
secondo,verticale,2
profondità,verticale,1
nero,verticale,1
vena,verticale,2
sotterrraneo,verticale,1
fuori,verticale,1
castello,verticale,1
traliccio,verticale,1
cima,verticale,1
arco,verticale,1
acquedotto,verticale,1
colonna,verticale,1
aereo,verticale,1
tutto,verticale,1
alto,verticale,2
perimetro,verdeggiante,1
buio,perimetro,1
perimetro,sepolto,1
paesaggio,perimetro,1
invisibile,perimetro,1
perimetro,visibile,1
perimetro,sole,1
calcareo,perimetro,1
perimetro,secondo,1
perimetro,profondità,1
nero,perimetro,1
perimetro,vena,1
perimetro,sotterrraneo,1
fuori,perimetro,1
castello,perimetro,1
perimetro,traliccio,1
cima,perimetro,1
arco,perimetro,1
acquedotto,perimetro,1
colonna,perimetro,1
aereo,perimetro,1
perimetro,tutto,1
alto,perimetro,1
buio,verdeggiante,1
sepolto,verdeggiante,1
paesaggio,verdeggiante,1
invisibile,verdeggiante,1
verdeggiante,visibile,1
sole,verdeggiante,1
calcareo,verdeggiante,1
secondo,verdeggiante,1
profondità,verdeggiante,1
nero,verdeggiante,1
vena,verdeggiante,1
sotterrraneo,verdeggiante,1
fuori,verdeggiante,1
castello,verdeggiante,1
traliccio,verdeggiante,1
cima,verdeggiante,1
arco,verdeggiante,1
acquedotto,verdeggiante,1
colonna,verdeggiante,1
aereo,verdeggiante,1
tutto,verdeggiante,1
alto,verdeggiante,1
buio,sepolto,1
buio,paesaggio,1
buio,invisibile,1
buio,visibile,1
buio,sole,1
buio,calcareo,1
buio,secondo,1
buio,profondità,1
buio,nero,1
buio,vena,1
buio,sotterrraneo,1
buio,fuori,1
buio,castello,1
buio,traliccio,1
buio,cima,1
arco,buio,1
acquedotto,buio,1
buio,colonna,1
aereo,buio,1
buio,tutto,1
alto,buio,1
paesaggio,sepolto,1
invisibile,sepolto,1
sepolto,visibile,1
sepolto,sole,1
calcareo,sepolto,1
secondo,sepolto,1
profondità,sepolto,1
nero,sepolto,1
sepolto,vena,1
sepolto,sotterrraneo,1
fuori,sepolto,1
