Id,Label,Synset,Weight
città,città,location,33
fuori,fuori,location,3
stesso,stesso,misc_adjective,1
proverbiale,proverbiale,misc_adjective,2
difetto,difetto,shape,3
puntiglioso,puntiglioso,misc_adjective,1
antichi,antichi,misc_adjective,1
veritiere,veritiere,misc_adjective,1
durevole,durevole,misc_adjective,1
tempo,tempo,time,2
vedere,vedere,scene,10
eccentrico,eccentrico,misc_adjective,1
usuale,usuale,misc_adjective,1
vero,vero,misc_adjective,4
immagine,immagine,shape,1
solido,solido,shape,1
compatto,compatto,misc_adjective,2
sparso,sparso,misc_adjective,1
posto,posto,location,5
persona,persona,shape,1
sbiadito,sbiadito,misc_adjective,1
ora,ora,time,4
scorcio,scorcio,scene,1
strada,strada,location,2
aprirtiso,aprirtiso,misc_adjective,1
davanti,davanti,location,1
inconfondibile,inconfondibile,misc_adjective,2
magnifico,magnifico,misc_adjective,1
terra,terra,location,1
distinto,distinto,misc_adjective,1
piccolo,piccolo,misc_adjective,1
numeroso,numeroso,misc_adjective,1
porta,porta,location,1
casa,casa,location,8
interno,interno,location,1
nuovo,nuovo,misc_adjective,10
alloggio,alloggio,building,1
cucina,cucina,building,2
camino,camino,location,1
ripostiglio,ripostiglio,building,1
area,area,location,1
fabbricabile,fabbricabile,misc_adjective,1
arrugginito,arrugginito,misc_adjective,1
casermone,casermone,building,1
appartamento,appartamento,building,1
altro,altro,misc_adjective,8
cornice,cornice,location,1
facile,facile,misc_adjective,1
anno,anno,time,3
muro,muro,building,1
diverso,diverso,misc_adjective,3
gomito,gomito,misc_adjective,1
illustro,illustro,misc_adjective,1
palazzo,palazzo,building,1
decadere,decadere,misc_adjective,1
pieni,pieni,misc_adjective,1
baracca,baracca,building,1
permaloso,permaloso,misc_adjective,1
diffidente,diffidente,misc_adjective,1
fine,fine,location,1
scorso,scorso,misc_adjective,1
provvisorio,provvisorio,misc_adjective,1
importuno,importuno,misc_adjective,1
invadente,invadente,misc_adjective,1
forma,forma,shape,2
prima,prima,building,6
comune,comune,location,1
ambiente,ambiente,location,1
grande,grande,misc_adjective,2
zona,zona,location,1
buono,buono,misc_adjective,1
mano,mano,shape,1
notte,notte,time,1
fitto,fitto,misc_adjective,2
voce,voce,shape,1
ironico,ironico,misc_adjective,1
lungo,lungo,misc_adjective,2
incastellato,incastellato,misc_adjective,1
finestra,finestra,building,3
alto,alto,location,4
centro,centro,location,2
piazza,piazza,location,2
profondo,profondo,location,1
mezzo,mezzo,location,2
giorno,giorno,time,1
piede,piede,shape,2
mare,mare,shape,1
vista,vista,scene,2
costa,costa,scene,1
basso,basso,location,2
ondulato,ondulato,misc_adjective,1
intervallo,intervallo,shape,1
spiazzo,spiazzo,location,1
deposito,deposito,building,1
segheria,segheria,building,1
idraulico,idraulico,misc_adjective,1
momento,momento,time,1
luce,luce,scene,2
aria,aria,shape,2
giallina,giallina,misc_adjective,1
evidente,evidente,misc_adjective,1
figura,figura,shape,2
immaginato,immaginato,misc_adjective,1
glorioso,glorioso,misc_adjective,1
travagliato,travagliato,misc_adjective,1
primo,primo,misc_adjective,5
modello,modello,shape,1
ineguagliabile,ineguagliabile,misc_adjective,1
stato,stato,location,1
presente,presente,misc_adjective,1
secolo,secolo,time,1
pestilenza,pestilenza,location,1
vacanza,vacanza,time,1
scantinato,scantinato,building,1
tana,tana,location,1
cinerario,cinerario,misc_adjective,1
marmo,marmo,shape,2
griglia,griglia,building,1
battuto,battuto,misc_adjective,1
carne,carne,shape,1
fuoco,fuoco,location,2
intarsiato,intarsiato,misc_adjective,1
pezzo,pezzo,location,1
scompagnato,scompagnato,misc_adjective,1
inservibile,inservibile,misc_adjective,1
catapecchia,catapecchia,building,1
infetto,infetto,misc_adjective,1
gabbia,gabbia,building,1
antico,antico,misc_adjective,2
epoca,epoca,time,1
giulive,giulive,misc_adjective,1
suntuoso,suntuoso,misc_adjective,1
pezzente,pezzente,misc_adjective,1
edificio,edificio,building,1
luogo,luogo,scene,1
fondo,fondo,location,2
cuore,cuore,location,1
estraneo,estraneo,misc_adjective,1
incongruo,incongruo,misc_adjective,1
usurpatrice,usurpatrice,misc_adjective,1
oscuro,oscuro,misc_adjective,1
eccolo,eccolo,misc_adjective,1
rigoglio,rigoglio,time,1
difficile,difficile,misc_adjective,1
vivente,vivente,misc_adjective,1
frammentario,frammentario,misc_adjective,1
morto,morto,misc_adjective,1
capitello,capitello,location,2
cima,cima,location,1
colonna,colonna,building,1
pollaio,pollaio,building,2
era,era,time,1
diffuso,diffuso,misc_adjective,1
sicuro,sicuro,misc_adjective,1
certo,certo,misc_adjective,2
spazio,spazio,shape,1
sommerso,sommerso,misc_adjective,1
sbrecciate,sbrecciate,misc_adjective,1
assortito,assortito,misc_adjective,1
ciglio,ciglio,shape,1
limpido,limpido,misc_adjective,1
rosa,rosa,building,1
denso,denso,misc_adjective,1
ombra,ombra,scene,1
giardino,giardino,location,1
sera,sera,time,2
brumoso,brumoso,misc_adjective,1
sfumato,sfumato,misc_adjective,1
lattigginosa,lattigginosa,misc_adjective,1
festa,festa,time,1
giallo,giallo,color,1
civile,civile,misc_adjective,1
bello,bello,shape,1
brutto,brutto,shape,1
cattivo,cattivo,misc_adjective,1
calamitare,calamitare,misc_adjective,1
sguardo,sguardo,shape,1
punto,punto,shape,1
dentro,dentro,location,1
