Id,Label,Synset,Weight
città,città,location,23
giornata,giornata,time,2
cupola,cupola,location,1
statua,statua,shape,2
bronzo,bronzo,shape,1
lastricato,lastricato,misc_adjective,1
teatro,teatro,scene,1
oro,oro,color,1
mattina,mattina,time,1
torre,torre,building,2
bellezza,bellezza,shape,2
vedere,vedere,scene,3
altro,altro,misc_adjective,2
sera,sera,time,2
settembre,settembre,time,1
multicolore,multicolore,misc_adjective,1
porta,porta,location,2
friggitorio,friggitorio,misc_adjective,1
terrazza,terrazza,building,1
voce,voce,shape,2
donna,donna,shape,2
ora,ora,time,1
uguale,uguale,misc_adjective,3
felice,felice,misc_adjective,1
stesso,stesso,misc_adjective,6
tempo,tempo,time,1
vecchio,vecchio,misc_adjective,4
illustrare,illustrare,misc_adjective,1
prima,prima,building,2
identico,identico,misc_adjective,1
piazza,piazza,location,2
posto,posto,location,4
chiosco,chiosco,building,1
cavalcavia,cavalcavia,building,1
bianco,bianco,color,1
fabbrica,fabbrica,building,1
presente,presente,misc_adjective,1
preciso,preciso,misc_adjective,1
metropoli,metropoli,location,2
provinciale,provinciale,misc_adjective,2
certo,certo,misc_adjective,1
grazia,grazia,shape,1
perduto,perduto,misc_adjective,1
diverso,diverso,misc_adjective,1
incomunicabile,incomunicabile,misc_adjective,1
faccia,faccia,shape,1
luogo,luogo,scene,1
estraneo,estraneo,misc_adjective,1
vano,vano,building,1
migliore,migliore,misc_adjective,1
peggiore,peggiore,misc_adjective,1
rapporto,rapporto,shape,1
terreno,terreno,location,1
selvatico,selvatico,misc_adjective,1
palazzo,palazzo,building,1
marino,marino,misc_adjective,1
arte,arte,location,1
incerto,incerto,misc_adjective,1
terzo,terzo,misc_adjective,1
sanguinoso,sanguinoso,misc_adjective,1
sognato,sognato,misc_adjective,1
giovane,giovane,misc_adjective,1
tardo,tardo,misc_adjective,1
età,età,time,1
magnanimo,magnanimo,misc_adjective,1
alto,alto,location,1
bastione,bastione,building,1
sesto,sesto,misc_adjective,1
arco,arco,time,1
porticato,porticato,building,1
spazio,spazio,shape,1
passato,passato,time,3
piede,piede,shape,1
penzolante,penzolante,misc_adjective,1
impiccato,impiccato,misc_adjective,1
teso,teso,misc_adjective,1
ringhiera,ringhiera,building,2
fronte,fronte,location,1
percorso,percorso,location,1
nuziale,nuziale,misc_adjective,1
regina,regina,shape,2
alba,alba,time,1
inclinazione,inclinazione,shape,1
grondaia,grondaia,building,2
finestra,finestra,building,3
linea,linea,shape,2
cannoniera,cannoniera,misc_adjective,1
improvviso,improvviso,misc_adjective,1
capo,capo,location,1
strappo,strappo,shape,1
centesima,centesima,misc_adjective,1
adulterino,adulterino,misc_adjective,1
fascia,fascia,location,1
mano,mano,shape,1
griglia,griglia,building,1
rigato,rigato,misc_adjective,1
intaglio,intaglio,shape,1
svirgoleare,svirgoleare,misc_adjective,1
memorabile,memorabile,misc_adjective,1
immagine,immagine,shape,1
comune,comune,location,1
punto,punto,shape,3
casa,casa,location,2
particolare,particolare,misc_adjective,1
modo,modo,shape,1
vista,vista,scene,1
figura,figura,shape,1
musicale,musicale,misc_adjective,1
solo,solo,misc_adjective,1
notte,notte,time,1
tenda,tenda,building,1
edicola,edicola,building,1
bagno,bagno,building,1
turco,turco,misc_adjective,1
caffè,caffè,building,1
angolo,angolo,shape,1
porto,porto,location,1
casella,casella,shape,1
illustro,illustro,misc_adjective,1
vegetale,vegetale,misc_adjective,1
itinerario,itinerario,location,1
nesso,nesso,shape,1
istantaneo,istantaneo,misc_adjective,1
immobile,immobile,misc_adjective,1
ricordato,ricordato,misc_adjective,1
scomparve,scomparve,misc_adjective,1
terra,terra,location,1
