Id,Label,Synset,Weight
città,città,location,39
nascosto,nascosto,misc_adjective,5
punto,punto,shape,3
grande,grande,misc_adjective,5
capocchia,capocchia,building,1
ingrandire,ingrandire,misc_adjective,1
vedere,vedere,scene,4
dentro,dentro,location,7
giardino,giardino,location,1
chiosco,chiosco,building,1
piazza,piazza,location,1
campo,campo,location,1
anno,anno,time,4
mezzo,mezzo,location,3
porcino,porcino,misc_adjective,1
naturale,naturale,misc_adjective,2
prima,prima,building,6
nuovo,nuovo,misc_adjective,7
fuori,fuori,location,1
solo,solo,misc_adjective,2
concentrico,concentrico,misc_adjective,1
altro,altro,misc_adjective,4
vecchio,vecchio,misc_adjective,4
cerchia,cerchia,shape,1
muro,muro,building,3
stretto,stretto,misc_adjective,3
campanile,campanile,building,1
cupola,cupola,location,1
cintura,cintura,location,1
antico,antico,misc_adjective,2
largo,largo,misc_adjective,1
orizzonte,orizzonte,location,2
confine,confine,location,1
perimetro,perimetro,shape,1
posto,posto,location,2
recente,recente,misc_adjective,1
cuore,cuore,location,1
ridotto,ridotto,building,1
tratto,tratto,time,1
primo,primo,misc_adjective,2
cerchio,cerchio,shape,1
interno,interno,location,2
difficile,difficile,misc_adjective,1
felice,felice,misc_adjective,6
vita,vita,time,1
strada,strada,location,1
mano,mano,shape,1
parapetto,parapetto,building,1
mattina,mattina,time,1
brutto,brutto,shape,1
momento,momento,time,4
colonna,colonna,building,1
davanti,davanti,location,1
vuoto,vuoto,shape,1
bettola,bettola,building,1
testa,testa,location,2
chino,chino,misc_adjective,1
sguardo,sguardo,shape,4
torvo,torvo,misc_adjective,2
casa,casa,location,1
estate,estate,time,2
finestra,finestra,building,3
rintronano,rintronano,misc_adjective,1
rotto,rotto,misc_adjective,1
pezzo,pezzo,location,1
alto,alto,location,1
giovane,giovane,misc_adjective,1
pergola,pergola,building,1
contento,contento,misc_adjective,1
buono,buono,misc_adjective,1
pizzo,pizzo,location,1
bianco,bianco,color,1
dama,dama,shape,1
ultimo,ultimo,misc_adjective,4
siepe,siepe,building,1
ostacolo,ostacolo,building,1
gabbia,gabbia,building,1
picchiettato,picchiettato,misc_adjective,1
rosso,rosso,color,1
giallo,giallo,color,1
pagina,pagina,location,1
triste,triste,misc_adjective,1
invisibile,invisibile,misc_adjective,1
vivente,vivente,misc_adjective,2
attimo,attimo,time,1
rapido,rapido,misc_adjective,1
figura,figura,shape,1
secondo,secondo,time,2
